設備,対象物数,主な概要
自動火災報知設備,5,・バッテリー不足／・受信機の表示エラー／等
誘導灯,4,・旧型の誘導灯が点かなくなった。
スプリンクラー設備,1,・二次側配管減圧異常
ガス漏れ火災警報設備,1,・中継器のヒューズ切れ
放送設備,1,・電源が入らなくなった。
その他,3,・緊急地震速報を送信する業者が計画停電の対象となり、緊急地震速報を受信できなかった。
無回答,5,
