エレベーターの状況,対象物数
どこかの階に着床し、扉が開いた状態であった,26
運転中だったが、最寄りの階等に着床し扉が開いた,13
運転中に停止し、人が閉じ込められてしまった,2
その他（事前に停止させておいた等）,132
わからない・無回答,12
