対象区域名,木造建築物１階,木造建築物２階,木造建築物３階以上,防火造建築物１階,防火造建築物２階,防火造建築物３階以上,準耐火造建築物１階,準耐火造建築物２階,準耐火造建築物３階以上,耐火造建築物１階,耐火造建築物２階,耐火造建築物３階,耐火造建築物４階,耐火造建築物５階,耐火造建築物６階,耐火造建築物７階,耐火造建築物８階,耐火造建築物９階,耐火造建築物１０階,耐火造建築物１１階,耐火造建築物１２階,耐火造建築物１３階,耐火造建築物１４階,耐火造建築物１５～１９階,耐火造建築物２０～２４階,耐火造建築物２５～２９階,耐火造建築物３０～３９階,耐火造建築物４０～４９階,耐火造建築物５０階以上,計
八王子市,15796,7628,40,8695,91674,618,6401,9857,1280,2114,3220,3325,1328,1011,329,231,191,127,94,93,40,34,67,7,2,1,0,1,0,154204
立川市,2970,1009,4,2210,19265,351,1162,6828,754,831,881,1555,672,618,168,127,95,63,34,18,16,6,13,7,2,0,0,0,0,39659
武蔵野市,704,1371,4,478,16645,402,241,2713,638,158,746,1693,707,332,141,117,104,45,50,22,16,4,11,4,0,1,1,0,0,27348
三鷹市,1543,2440,9,956,24236,625,556,3879,922,290,603,1173,417,270,110,105,70,35,18,22,14,5,8,1,1,0,0,0,0,38308
青梅市,6180,2073,5,4191,26567,263,2172,2306,428,545,607,614,258,158,66,42,21,8,9,14,7,0,5,1,0,0,0,0,0,46540
府中市,3041,2919,6,1685,31270,1069,3603,3995,1279,854,1289,1664,617,455,169,136,122,65,76,34,13,17,17,10,0,2,2,0,0,54409
昭島市,2777,1109,0,1122,12326,99,1167,4979,307,570,1014,988,293,154,41,39,16,8,12,36,6,5,6,5,0,0,0,0,0,27079
調布市,1645,2224,6,889,28576,422,1091,3108,883,332,789,1507,646,473,167,100,62,34,40,26,13,3,17,3,0,0,1,0,0,43057
町田市,7194,3988,16,5234,61687,747,4114,21643,1448,685,1168,1378,698,984,126,73,52,37,46,23,13,4,11,22,1,0,1,0,0,111393
小金井市,1033,1589,6,630,18622,446,345,1749,212,168,544,816,247,147,59,54,25,12,17,10,4,4,7,0,0,1,0,0,0,26747
小平市,2460,2058,3,1215,25040,538,1658,8300,1990,592,462,592,303,397,85,41,28,17,5,10,2,6,5,0,0,0,0,0,0,45807
日野市,1865,1609,3,3343,28092,294,962,4835,456,368,876,1049,398,344,80,41,37,18,14,18,6,8,4,6,0,0,0,0,0,44726
東村山市,1977,1930,9,1654,20422,300,1433,7193,396,484,785,880,304,291,86,51,24,20,18,24,6,3,12,2,0,1,0,0,0,38305
国分寺市,1083,1477,3,1730,18735,323,453,3531,403,183,465,840,285,210,70,50,43,28,7,10,11,0,17,6,1,0,0,0,0,29964
国立市,813,508,7,677,10171,239,445,1204,468,216,383,581,301,203,67,37,16,11,15,6,8,7,8,0,0,0,0,0,0,16391
福生市,1746,508,0,1226,8432,78,397,1398,299,124,148,347,173,135,31,23,16,9,1,4,2,3,3,0,0,0,0,0,0,15103
狛江市,606,1529,2,295,11319,343,242,972,165,110,310,548,133,158,36,15,10,6,4,8,0,1,5,1,0,0,0,0,0,16818
東大和市,1430,960,2,720,12036,109,631,2903,159,184,444,412,128,124,19,22,17,15,8,11,4,2,11,1,0,0,0,0,0,20352
清瀬市,1145,1719,11,345,10825,79,496,559,112,186,338,445,163,170,25,27,14,7,5,2,2,0,2,3,0,0,0,0,0,16680
東久留米市,1292,1260,1,659,20148,163,1238,981,256,136,792,538,139,269,38,29,16,15,17,4,7,1,6,1,1,0,0,0,0,28007
武蔵村山市,1585,738,0,934,14897,114,1088,2192,102,252,429,373,102,155,24,3,8,8,5,4,1,0,1,0,0,0,0,0,0,23015
多摩市,752,583,0,2202,10284,118,950,3190,286,738,810,727,451,725,117,85,56,41,35,71,5,3,8,9,1,1,0,0,0,22248
稲城市,1846,1338,4,670,7699,738,528,1285,235,271,365,471,156,158,48,28,21,17,24,7,6,8,15,0,0,0,0,0,0,15938
羽村市,1658,668,0,738,8851,136,996,1721,148,217,348,454,155,83,30,14,9,2,3,1,1,0,1,0,0,0,0,0,0,16234
あきる野市,5917,2335,0,3641,20013,82,2952,1429,62,418,621,356,60,29,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,37926
西東京市,1527,3087,19,956,28751,742,464,2764,472,394,817,1286,432,279,103,63,78,21,23,9,15,2,8,9,2,0,1,0,0,42324
瑞穂町,2135,527,0,1316,7355,58,1766,1102,50,314,405,217,73,21,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15343
日の出町,2539,693,0,914,3968,13,716,490,19,169,141,46,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9725
檜原村,583,789,3,174,357,2,169,68,3,20,35,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2213
奥多摩町,1520,789,6,463,1143,15,523,116,24,82,68,32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4785
計１,77344,51438,169,49940,599017,9522,38943,107199,14249,11993,19880,24894,9646,8352,2244,1554,1150,667,577,486,218,126,265,97,11,7,6,1,0,1029995
計２,128951,※,※,658479,※,※,160391,※,※,82174,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※
