区市町村名,市街地面積（ｍ２）,木造防火準耐の平均階数,平均階数木造,平均階数防火造,平均階数準耐火造,平均階数耐火造,平均建ぺい率木造（％）,平均建ぺい率防火造（％）,平均建ぺい率準耐火造（％）,平均建ぺい率耐火造（％）,平均建ぺい率全建物（％）,混成率木造（％）,混成率防火造（％）,混成率準耐火造（％）,混成率耐火造（％）,平均延焼速度比,容積率（％）,道路率（％）,空地率（％）,構造別建物棟数木造,構造別建物棟数防火造,構造別建物棟数準耐火造,構造別建物棟数耐火造,構造別建物棟数総数
八王子市,186532174,1.80,1.33,1.92,1.73,3.21,3.8,16.9,5.0,10.3,35.9,10.4,46.9,13.9,28.8,0.45,23.3,3.3,70.7,23464,100987,17538,12215,154204
立川市,24153877,1.85,1.26,1.91,1.95,3.41,2.6,14.6,8.5,15.9,41.6,6.3,35.2,20.4,38.2,0.39,54.7,6.3,46.1,3983,21826,8744,5106,39659
武蔵野市,10764730,1.98,1.66,2.00,2.11,3.70,2.5,19.3,5.0,17.2,44.0,5.6,43.8,11.4,39.1,0.38,90.7,6.0,24.6,2079,17525,3592,4152,27348
三鷹市,16455330,1.96,1.62,1.99,2.07,3.54,3.3,19.7,6.5,12.3,41.8,7.9,47.2,15.5,29.4,0.44,66.5,4.3,34.0,3992,25817,5357,3142,38308
青梅市,103305596,1.73,1.25,1.87,1.65,2.87,5.0,17.1,6.2,6.7,35.0,14.4,48.7,17.7,19.1,0.52,10.7,1.8,83.4,8258,31021,4906,2355,46540
府中市,29298365,1.88,1.49,1.98,1.74,3.38,3.0,17.2,6.9,15.9,43.0,7.0,40.0,16.1,37.0,0.40,62.0,7.1,39.3,5966,34024,8877,5542,54409
昭島市,17146149,1.81,1.29,1.92,1.87,2.83,3.2,12.2,8.6,16.9,40.8,7.8,29.8,21.1,41.3,0.37,47.5,5.7,48.0,3886,13547,6453,3193,27079
調布市,21603059,1.94,1.58,1.98,1.96,3.58,2.8,19.0,5.2,15.6,42.5,6.5,44.7,12.2,36.7,0.40,69.4,5.0,38.0,3875,29887,5082,4213,43057
町田市,71586955,1.87,1.36,1.93,1.91,3.45,2.7,17.1,8.2,7.6,35.7,7.6,48.0,23.0,21.4,0.49,38.5,4.8,49.7,11198,67668,27205,5322,111393
小金井市,11322723,1.95,1.61,1.99,1.94,3.30,3.1,21.5,4.0,11.1,39.7,7.9,54.2,10.0,28.0,0.45,62.5,4.2,33.3,2628,19698,2306,2115,26747
小平市,20454792,1.94,1.46,1.97,2.04,3.14,2.7,15.8,12.0,9.3,39.8,6.7,39.6,30.3,23.4,0.48,56.9,4.5,36.4,4521,26793,11948,2545,45807
日野市,27416143,1.87,1.46,1.90,1.92,3.20,2.0,18.0,6.2,9.7,35.9,5.6,50.3,17.2,26.9,0.45,42.6,4.6,46.2,3477,31729,6253,3267,44726
東村山市,17149965,1.88,1.50,1.94,1.89,3.14,2.9,15.4,8.6,11.4,38.3,7.7,40.3,22.4,29.6,0.44,53.1,3.3,39.9,3916,22376,9022,2991,38305
国分寺市,11539346,1.91,1.58,1.93,2.00,3.53,2.9,20.7,5.6,9.8,39.0,7.3,53.0,14.4,25.2,0.47,62.0,3.1,33.6,2563,20788,4387,2226,29964
国立市,8159201,1.92,1.39,1.96,2.01,3.41,2.1,18.5,5.5,14.0,40.1,5.2,46.3,13.6,34.9,0.40,63.4,6.8,33.1,1328,11087,2117,1859,16391
福生市,7000405,1.79,1.23,1.88,1.95,3.48,3.6,17.6,6.7,9.5,37.4,9.7,47.2,17.8,25.3,0.47,52.6,8.0,31.4,2254,9736,2094,1019,15103
狛江市,6428772,1.96,1.72,2.00,1.95,3.25,4.5,22.7,3.7,10.2,41.1,11.0,55.2,8.9,24.9,0.48,68.2,4.2,29.2,2137,11957,1379,1345,16818
東大和市,13531749,1.87,1.40,1.95,1.87,3.15,3.4,16.4,7.2,9.9,36.9,9.3,44.5,19.5,26.7,0.46,39.9,5.4,51.4,2392,12865,3693,1402,20352
清瀬市,10119976,1.88,1.61,1.98,1.68,3.15,5.0,17.1,3.1,13.4,38.6,13.1,44.2,8.1,34.6,0.43,46.3,4.1,49.2,2875,11249,1167,1389,16680
東久留米市,12893519,1.89,1.49,1.98,1.60,3.17,2.9,20.1,5.2,10.4,38.6,7.4,52.2,13.5,26.8,0.46,53.4,4.9,38.1,2553,20970,2475,2009,28007
武蔵村山市,14436077,1.84,1.32,1.95,1.71,2.81,3.1,18.7,8.1,9.3,39.2,7.9,47.7,20.7,23.8,0.48,38.0,4.7,52.0,2323,15945,3382,1365,23015
多摩市,21073166,1.81,1.44,1.83,1.86,3.51,1.3,12.2,5.6,19.3,38.4,3.4,31.8,14.5,50.4,0.31,53.5,9.2,49.3,1335,12604,4426,3883,22248
稲城市,17970346,1.86,1.42,2.01,1.86,3.35,4.7,13.5,4.8,13.7,36.7,12.7,36.9,13.1,37.3,0.41,30.6,5.7,64.2,3188,9107,2048,1595,15938
羽村市,9536295,1.79,1.29,1.94,1.71,2.84,3.4,14.3,14.2,10.7,42.6,8.0,33.6,33.4,25.1,0.47,50.6,7.4,36.9,2326,9725,2865,1318,16234
あきる野市,73424514,1.66,1.28,1.85,1.35,2.13,5.7,17.8,4.1,4.6,32.2,17.7,55.2,12.7,14.4,0.56,8.7,1.2,84.3,8252,23736,4443,1495,37926
西東京市,15908661,1.96,1.67,1.99,2.00,3.32,3.4,20.5,3.8,12.3,40.0,8.5,51.2,9.5,30.8,0.44,69.6,3.9,31.9,4633,30449,3700,3542,42324
瑞穂町,14665696,1.64,1.20,1.86,1.41,2.13,4.6,13.4,11.4,10.2,39.6,11.7,33.9,28.7,25.8,0.48,26.1,4.9,60.7,2662,8729,2918,1034,15343
日の出町,28051190,1.56,1.21,1.82,1.43,1.77,8.6,13.9,7.0,5.0,34.5,24.9,40.3,20.4,14.4,0.58,6.1,1.5,88.4,3232,4895,1225,373,9725
檜原村,105379188,1.57,1.58,1.68,1.31,1.89,14.4,5.1,1.7,1.7,22.9,63.1,22.2,7.3,7.4,0.76,0.4,0.4,98.6,1375,533,240,65,2213
奥多摩町,225342545,1.47,1.35,1.72,1.25,1.78,8.9,6.8,2.5,2.1,20.3,43.7,33.6,12.5,10.1,0.67,0.3,0.1,98.8,2315,1621,663,186,4785
市町村小計,1152650504,1.85,1.40,1.94,1.85,3.26,3.4,17.1,6.5,11.1,38.1,9.0,44.8,17.1,29.0,0.45,24.8,2.9,71.1,128951,658479,160391,82174,1029995
東京都合計,1781155230,1.96,1.50,1.98,2.11,3.92,2.6,16.3,7.2,17.3,43.4,5.9,37.5,16.7,39.9,0.38,55.3,5.1,55.6,231382,1575827,520956,444283,2772448
