建物の構造,全体,全体（％）,転倒有,転倒有（％）,転倒無,転倒無（％）,回答無,回答無（％）
免震構造,104,6.5,30,4.2,70,8.3,4,9.1
制震構造,172,10.7,46,6.4,121,14.3,5,11.4
耐震構造（１、２に該当するものを除く。）,1120,69.9,542,75.9,551,65.3,27,61.4
その他（）,73,4.6,40,5.6,33,3.9,0,0
不明,84,5.2,31,4.3,50,5.9,3,6.8
無回答,49,3.1,25,3.5,19,2.3,5,11.4
計,1602,100,714,100,844,100,44,100
