方面,配置,消防署救助隊名
第一方面,麹町,永田町特別救助隊
第一方面,芝,芝特別救助隊
第二方面,蒲田,空港特別救助隊
第三方面,目黒,目黒特別救助隊
第三方面,世田谷,世田谷特別救助隊
第四方面,新宿,新宿特別救助隊
第四方面,杉並,杉並特別救助隊
第五方面,豊島,豊島特別救助隊
第六方面,足立,足立特別救助隊
第六方面,上野,上野特別救助隊
第七方面,城東,城東特別救助隊
第七方面,本田,本田特別救助隊
第七方面,江戸川,江戸川特別救助隊
第七方面,深川,深川特別救助隊
第八方面,武蔵野,武蔵野特別救助隊
第八方面,東久留米,東久留米特別救助隊
第八方面,府中,朝日特別救助隊
第九方面,八王子,八王子特別救助隊
第九方面,町田,町田特別救助隊
第九方面,青梅,青梅特別救助隊
第九方面,多摩,多摩特別救助隊
第十方面,板橋,板橋特別救助隊
第十方面,練馬,練馬特別救助隊
第十方面,石神井,石神井特別救助隊
