消防用設備等,対象物数
消火器,1
屋内消火栓設備,9
スプリンクラー設備,114
水噴霧消火設備,2
泡消火設備,5
不活性ガス消火設備,1
自動火災報知設備,8
放送設備,3
誘導灯,10
排煙設備,4
消防用水,1
その他,28
