年別,合計,危険排除計,危険排除危険物関係,危険排除ガス関係,危険排除火気取扱関係,危険排除その他,応急処置除去,応急処置排水,応急処置洗浄,応急処置救援,応急処置照明,警戒,その他,出車両場
26,5432,3371,1989,748,240,394,111,49,1,1,1,154,1744,13716
27,5844,3611,2139,790,191,491,99,41,1,1,0,139,1952,14621
28,5773,3549,2134,691,172,552,153,40,0,1,0,203,1827,14562
