市町村,対象物数
千代田区,17
中央区,26
港区,30
新宿区,23
文京区,19
台東区,28
墨田区,29
江東区,30
品川区,23
目黒区,15
世田谷区,42
渋谷区,15
中野区,12
杉並区,30
豊島区,12
北区,19
荒川区,21
板橋区,30
練馬区,44
足立区,40
葛飾区,27
江戸川区,57
八王子市,15
武蔵野市,5
三鷹市,10
調布市,15
町田市,15
小金井市,8
小平市,15
日野市,15
国分寺市,13
狛江市,5
東大和市,11
清瀬市,2
多摩市,14
西東京市,10
