復旧時間,フルサービス,フルサービス（％）,セルフサービス,セルフサービス（％）,合計,合計（％）
３０分以内,162,81.8,43,78.2,205,81.0
１時間以内,10,5.0,5,9.1,15,5.9
１時間よりかかった,13,6.6,5,9.1,18,7.1
無回答,13,6.6,2,3.6,15,5.9
合計,198,,55,,253,
