自衛消防活動の種類,延べ活動数
火災対応のための活動（非火災を含む）,233
救助活動,86
建物外への避難の呼び掛け,334
建物内への残留の呼び掛け,519
水損防止措置（制御弁の閉鎖等）,91
落下物や転倒物のかたづけ,277
被害状況や受傷者の確認,1067
交通機関や避難場所等の情報収集,784
その他,172
