方面,配置消防署,救助隊名
第一方面,日本橋,浜町水難救助隊
第一方面,臨港,臨港水難救助隊
第二方面,大森,大森水難救助隊
第六方面,足立,綾瀬水難救助隊
第七方面,小岩,小岩水難救助隊
第八方面,調布,調布水難救助隊
