出火原因,２８（件）,前年比（件）
放火（疑いを含む。）,881,-146
たばこ,586,-78
ガステーブル等,363,-94
大型ガスこんろ,110,-8
電気ストーブ,85,10
差し込みプラグ,64,17
コード,61,4
コンセント,59,6
ロウソク,48,8
屋内線,41,-5
蛍光灯,41,-1
