区別,総数,交通事故,火災事故,運動競技事故,自然災害事故,水難事故,労働災害事故,一般負傷,自損行為,加害,急病,転院搬送,資器材等輸送,医師搬送,その他
合計,777382,51019,3425,5423,17,950,4789,134257,5091,7136,511673,43692,504,229,9177
特別区計,572696,36321,2583,3611,12,772,3551,98786,3590,5756,379619,30418,422,182,7073
千代田区,14156,899,89,95,,2,169,2763,33,142,9231,599,12,,122
中央区,13277,1078,71,59,1,15,204,2226,62,120,8745,544,1,,151
港区,23373,1703,150,98,1,10,266,4141,105,380,15297,941,4,,277
新宿区,34040,1670,170,240,,12,234,5817,222,606,22593,1953,7,,516
文京区,12202,672,58,116,,6,82,2076,63,80,7331,1591,11,,116
台東区,18984,1100,69,63,,34,118,3650,114,311,12630,622,1,,272
墨田区,17262,1088,63,85,,34,80,2802,97,183,11318,1294,11,,207
江東区,28856,1916,99,293,,57,292,4559,148,230,19121,1553,23,137,428
品川区,22200,1235,120,129,,25,140,3927,121,153,14974,1118,6,1,251
目黒区,13257,950,68,116,1,9,68,2508,93,91,8513,681,18,4,137
大田区,39981,2605,171,237,,75,267,6998,216,307,26624,1967,13,6,495
世田谷区,41999,2810,168,429,,27,222,7671,284,258,27471,2104,89,9,457
渋谷区,19924,1277,97,187,,9,180,3513,90,302,13031,937,24,20,257
中野区,17427,944,86,58,1,16,54,3055,130,168,11856,772,7,1,279
杉並区,26730,1811,132,171,,19,126,4968,175,177,17530,1127,49,2,443
豊島区,21164,955,114,118,,17,133,3691,140,339,14415,879,12,,351
北区,21205,1001,96,125,,30,101,3697,139,216,14438,1100,,,262
荒川区,13045,581,41,48,2,26,65,2203,94,132,8692,994,33,,134
板橋区,31697,2060,126,153,1,35,134,5028,218,286,21397,1870,23,,366
練馬区,35043,2257,139,182,3,43,113,5937,243,237,23483,2030,17,,359
足立区,42767,3181,192,220,2,87,221,6869,322,398,28038,2776,36,1,424
葛飾区,27577,1957,113,151,,86,105,4530,198,252,18417,1497,6,,265
江戸川区,36530,2571,151,238,,98,177,6157,283,388,24474,1469,19,1,504
受託地区計,204686,14698,842,1812,5,178,1238,35471,1501,1380,132054,13274,82,47,2104
八王子市,29389,2166,119,291,2,31,212,4983,227,195,19031,1881,4,,247
立川市,11251,794,47,81,,1,73,1927,71,110,7409,622,1,31,84
武蔵野市,8315,473,62,83,,3,45,1437,54,57,5045,964,7,,85
三鷹市,8590,562,41,70,,9,45,1497,55,46,5401,770,3,,91
青梅市,6086,536,29,34,,10,42,1011,59,29,3853,426,2,,55
府中市,13142,826,57,134,,14,65,2033,105,80,7941,1758,2,2,125
昭島市,5891,501,19,50,,3,37,1008,43,41,3798,343,,,48
調布市,10976,764,31,127,,4,60,1888,60,53,7253,578,15,,143
町田市,20711,1466,82,175,,6,133,3817,148,156,13654,789,20,1,264
小金井市,5366,380,16,61,,2,28,969,27,41,3410,372,1,,59
小平市,8954,615,34,75,,5,46,1553,63,38,5755,680,7,,83
日野市,7940,520,36,52,,10,44,1446,50,41,5316,354,4,,67
東村山市,8053,534,36,46,,9,43,1448,84,52,5218,471,2,,110
国分寺市,5213,332,15,45,,,16,954,32,36,3561,169,,,53
国立市,3568,270,14,38,,,13,626,32,14,2390,108,,,63
福生市,3271,304,18,29,,1,19,526,30,52,1998,254,,,40
狛江市,3544,209,11,12,,3,15,631,28,19,2405,168,6,,37
東大和市,4246,339,23,47,,4,34,702,35,46,2811,165,,,40
清瀬市,4136,258,23,38,,4,16,773,27,29,2518,400,,,50
東久留米市,5873,418,30,37,,12,30,1017,32,39,3931,269,4,,54
武蔵村山市,3847,370,9,44,,,31,539,31,26,2508,233,,,56
多摩市,7183,459,13,95,,11,40,1264,48,50,4651,481,4,,67
羽村市,2459,218,7,13,,3,20,447,21,17,1630,57,,,26
あきる野市,3622,307,14,28,,9,24,663,45,35,2316,148,,,33
西東京市,9633,613,31,75,,11,42,1721,69,49,6339,598,,,85
瑞穂町,1669,230,7,23,3,,33,250,10,12,1070,11,,,20
日の出町,836,69,12,8,,,14,134,5,2,547,34,,,11
檜原村,214,50,2,,,,10,52,1,2,89,7,,,1
奥多摩町,482,68,,,,9,8,153,8,1,199,28,,2,6
管轄外,226,47,4,1,,4,,2,1,12,7,136,,11,1
