区分１,区分２,特別区,受託地区
消火栓,,88850,45634
防火水槽等,４０ｍ３以上,21678,11955
防火水槽等,４０ｍ３未満,678,394
防火水槽等,計,22356,12349
貯水池,４０ｍ３以上,74,142
貯水池,４０ｍ３未満,12,34
貯水池,計,86,176
受水槽,,1775,699
プール,,1525,911
河川・溝,,1834,723
海,,438,-
池濠,,200,156
その他,,13,0
合計,,117077,60648
