教育種別１,教育種別２,実施回数,人員
初任教育,消防吏員,16,854
初任教育,主事,1,12
管理者研修,部長研修,1,20
管理者研修,参事等・署長・副本部長研修,1,101
管理者研修,署長任命予定者研修,2,24
管理者研修,本庁課長・副参事等・副署長等研修,2,144
管理者研修,副署長任命予定者研修,2,31
管理者研修,警防課長研修,1,93
管理者研修,予防課長研修,1,83
幹部研修,上級幹部研修（消防司令長新任課程）,1,63
幹部研修,中級幹部研修（消防司令新任課程）,3,199
幹部研修,初級幹部研修（消防司令補新任課程）,8,470
幹部研修,初級幹部研修（消防士長新任課程）,5,721
専科研修,特別救助技術研修,2,99
専科研修,特別操作機関技術研修,4,80
専科研修,ポンプ機関技術研修,7,244
専科研修,機動二輪活動技術研修,1,10
専科研修,救急救命士養成課程研修,1,50
専科研修,救急救命士就業前研修,4,159
専科研修,救急標準課程研修,4,238
特別研修,経理関係事務特別研修（基礎課程）,1,33
特別研修,経理関係事務特別研修（実務課程）,1,16
特別研修,経理関係事務特別研修（管理課程）,1,16
特別研修,情報通信システム指導者特別研修（情報課程）,1,81
特別研修,情報通信システム指導者特別研修（通信課程）,1,80
特別研修,特別消火中隊隊長特別研修,1,54
特別研修,実火災体験型訓練指導者養成特別研修,2,22
特別研修,ＮＢＣ災害基礎特別研修,2,98
特別研修,救急救命士実務特別研修,2,91
特別研修,救急隊長特別研修,3,180
特別研修,救急救命士処置拡大（低血糖・ショック）特別研修,4,207
特別研修,予防実務特別研修（基礎課程）,1,57
特別研修,予防実務特別研修（査察、予防、防火管理、危険物）（専門課程）,6,243
特別研修,予防実務特別研修（実務入門、技術向上）（火災調査課程）,2,120
特別研修,予防実務特別研修（査察、予防、防火管理、危険物、調査）（管理課程）,5,205
特別研修,機関員指導者養成特別研修,2,44
特別研修,消防団教育訓練指導者特別研修,2,115
特別研修,現任士長スキルアップ研修,1,98
特別研修,現任副士長スキルアップ研修,1,98
合計,,106,5553
