方面,救助部隊名
第二方面,第二消防方面本部消防救助機動部隊
第三方面,第三消防方面本部消防救助機動部隊
第六方面,第六消防方面本部消防救助機動部隊
第八方面,第八消防方面本部消防救助機動部隊
第九方面,第九消防方面本部消防救助機動部隊
