非常用発電機の保有状況,フルサービス,フルサービス（％）,セルフサービス,セルフサービス（％）,合計,合計（％）
有,32,5.6,29,17.2,61,8.2
無,534,93.5,137,81.1,671,90.7
無回答,5,0.9,3,1.8,8,1.1
合計,571,,169,,740,
