種別年度別,甲種受験者（人）,甲種合格者（人）,甲種合格率（％）,乙種受験者（人）,乙種合格者（人）,乙種合格率（％）,合計受験者（人）,合計合格者（人）,合計合格率（％）
27,9968,3230,32.4,8860,3688,41.6,18828,6918,36.7
28,10415,3680,35.3,8728,3744,42.9,19143,7424,38.7
