延べ面積（万ｍ２）,対象物数
１未満,188
～２未満,323
～３未満,370
～４未満,188
～５未満,126
～６未満,86
～７未満,57
～８未満,51
～９未満,36
～１０未満,25
１０以上,124
不明,28
