復旧方法の把握状況,フルサービス,フルサービス（％）,セルフサービス,セルフサービス（％）,合計,合計（％）
把握していた,198,91.7,55,96.5,253,92.7
把握していなかった,16,7.4,2,3.5,18,6.6
無回答,2,0.9,0,0,2,0.7
合計,216,,57,,273,
