フィルターの目詰まり状況,フルサービス,フルサービス（％）,セルフサービス,セルフサービス（％）,合計,合計（％）
詰まった,61,10.7,13,7.7,74,10.0
詰まらなかった,485,84.9,151,89.3,636,85.9
無回答,25,4.4,5,3.0,30,4.1
合計,571,,169,,740,
