消防署名,市街地面積（ｍ２）,木造防火準耐の平均階数,平均階数木造,平均階数防火,平均階数準耐,平均階数耐火,平均建ぺい率木造（％）,平均建ぺい率防火（％）,平均建ぺい率準耐（％）,平均建ぺい率耐火（％）,平均建ぺい率全建物（％）,混成率木造（％）,混成率防火（％）,混成率準耐（％）,混成率耐火（％）,平均延焼速度比,容積率（％）,道路率（％）,空地率（％）,構造別建物棟数木造,構造別建物棟数防火,構造別建物棟数準耐,構造別建物棟数耐火,構造別建物棟数合計
丸の内消防署,3780930,1.4,1.21,1.72,1.31,8.35,1.4,0.5,0.8,64.5,67.3,2.2,0.8,1.2,95.9,0.03,241.2,18.5,54.1,39,39,87,364,529
麹町消防署,4446894,1.8,1.57,1.97,1.56,6.13,0.5,1.2,1.2,57.9,60.8,0.9,2.0,1.9,95.2,0.03,257.2,18.0,33.7,84,336,243,2823,3486
神田消防署,3134313,2.1,1.95,2.16,2.02,6.01,0.4,3.6,1.1,60.4,65.4,0.6,5.6,1.6,92.3,0.05,299.3,30.3,9.2,142,1305,295,6368,8110
京橋消防署,3855941,2.3,1.90,2.13,3.08,6.42,0.4,3.7,1.5,61.3,66.9,0.6,5.6,2.2,91.6,0.05,247.4,26.9,23.7,135,1420,334,4837,6726
日本橋消防署,3092157,2.4,1.61,2.10,3.10,6.30,0.1,3.5,1.5,60.3,65.5,0.2,5.4,2.3,92.1,0.05,298.0,31.8,11.0,61,1205,447,5207,6920
臨港消防署,10618864,2.0,1.81,2.07,1.69,5.67,0.7,4.4,2.8,33.1,41.0,1.8,10.6,6.8,80.7,0.12,62.7,8.9,73.5,282,1614,313,1200,3409
芝消防署,7394492,1.9,1.57,1.90,2.10,5.89,1.0,3.3,1.8,54.6,60.8,1.7,5.5,3.0,89.9,0.06,269.7,21.7,28.5,467,2023,679,6279,9448
麻布消防署,3857860,2.0,1.69,1.90,2.33,4.84,1.0,5.8,2.7,44.5,54.0,1.9,10.8,5.1,82.3,0.11,210.4,15.3,18.7,309,1982,854,4557,7702
赤坂消防署,4215517,2.0,1.59,1.84,2.35,4.81,0.9,4.1,2.1,49.3,56.4,1.6,7.3,3.7,87.3,0.08,198.6,14.0,33.6,225,1288,530,3802,5845
高輪消防署,5570838,1.9,1.66,1.93,2.06,4.44,1.8,6.1,6.0,41.3,55.1,3.2,11.0,10.9,74.9,0.16,178.0,11.7,38.8,600,2439,1278,3166,7483
品川消防署,8439787,2.0,1.60,2.02,2.15,4.63,1.3,11.2,5.4,33.8,51.7,2.5,21.7,10.4,65.4,0.21,170.7,11.8,27.5,836,8353,3012,5584,17785
大井消防署,9430011,2.0,1.60,2.01,2.16,4.00,1.1,14.8,6.1,27.7,49.6,2.3,29.8,12.2,55.7,0.27,89.9,9.6,45.0,700,9345,2408,3744,16197
荏原消防署,5630427,2.1,1.57,2.05,2.47,3.71,1.5,24.0,6.3,17.5,49.2,3.0,48.7,12.8,35.5,0.39,126.3,4.5,9.1,1143,19275,4878,5175,30471
大森消防署,18646164,2.1,1.69,2.07,2.31,3.87,2.5,13.5,10.7,22.6,49.3,5.1,27.4,21.7,45.8,0.34,96.3,11.4,28.9,3722,22547,9087,6780,42136
田園調布消防署,11916895,2.1,1.72,2.05,2.28,3.49,2.6,20.1,7.9,14.1,44.7,5.9,45.0,17.6,31.5,0.43,93.8,8.5,14.8,2974,23533,8705,5513,40725
蒲田消防署,24319446,2.1,1.71,2.07,2.29,3.77,2.1,10.1,9.1,22.9,44.1,4.7,22.9,20.5,51.8,0.30,50.5,5.3,60.6,2899,14216,6614,6071,29800
矢口消防署,6901154,2.1,1.64,2.05,2.39,3.97,2.1,16.6,8.5,21.1,48.3,4.3,34.4,17.7,43.7,0.35,108.1,8.5,28.0,1424,11415,4576,3913,21328
目黒消防署,14758973,2.1,1.65,1.99,2.22,3.33,1.5,14.6,9.0,22.8,47.8,3.1,30.5,18.8,47.6,0.32,122.5,7.0,13.2,2310,22060,14388,13599,52357
世田谷消防署,22044294,2.1,1.60,2.05,2.33,3.43,1.9,20.0,7.4,16.8,46.0,4.0,43.4,16.0,36.5,0.39,108.6,4.9,11.8,4131,47503,16623,13600,81857
玉川消防署,15777790,2.1,1.58,2.03,2.22,3.26,2.0,17.0,7.9,16.9,43.8,4.5,38.8,18.1,38.6,0.38,90.9,7.6,19.9,2542,22695,9470,7248,41955
成城消防署,20246510,2.0,1.47,1.97,2.11,3.11,2.0,17.3,6.8,15.1,41.2,4.9,41.9,16.4,36.7,0.39,76.1,3.7,28.9,3346,29401,9379,6141,48267
渋谷消防署,15119511,2.1,1.63,2.01,2.42,4.40,0.6,10.5,4.2,36.7,52.0,1.2,20.2,8.0,70.6,0.18,168.1,10.7,20.7,725,14857,5691,16430,37703
四谷消防署,3219159,2.0,1.41,2.02,2.01,5.10,0.5,9.2,4.4,42.2,56.3,0.8,16.3,7.9,75.0,0.15,166.6,14.6,26.4,111,2555,1457,3507,7630
牛込消防署,5210313,2.0,1.59,2.00,2.09,4.40,0.6,11.1,5.8,36.7,54.2,1.0,20.5,10.7,67.7,0.20,183.8,9.5,16.7,326,5906,3926,5983,16141
新宿消防署,9817845,2.0,1.61,2.01,2.08,4.51,0.9,12.4,5.4,34.5,53.1,1.7,23.3,10.2,64.9,0.21,225.3,12.3,14.2,820,12153,6583,10858,30414
中野消防署,6565648,2.1,1.69,2.07,2.51,3.88,1.6,19.3,5.7,22.5,49.0,3.3,39.3,11.6,45.8,0.33,139.8,6.0,11.1,1167,15486,3289,6277,26219
野方消防署,9009750,2.0,1.68,2.03,2.26,3.19,3.0,21.5,6.7,14.4,45.6,6.6,47.2,14.7,31.6,0.43,97.8,4.3,12.5,2739,22045,5541,5912,36237
杉並消防署,19014746,2.1,1.67,2.04,2.26,3.67,2.4,21.9,6.9,13.1,44.3,5.4,49.3,15.7,29.6,0.44,93.0,4.7,16.5,4267,44741,11111,7886,68005
荻窪消防署,14894230,2.0,1.63,2.01,2.16,3.43,2.5,22.1,7.6,12.4,44.6,5.7,49.5,17.0,27.8,0.45,91.1,5.5,14.0,3237,32274,9272,5844,50627
小石川消防署,6460606,2.0,1.63,1.96,2.15,4.17,1.2,13.4,5.6,32.8,53.0,2.3,25.3,10.6,61.8,0.23,166.6,10.5,19.4,709,9252,3671,6601,20233
本郷消防署,4891057,2.1,1.78,1.94,2.39,4.51,1.3,14.0,7.3,33.7,56.4,2.4,24.9,12.9,59.8,0.25,188.3,11.1,14.2,672,7686,3881,6150,18389
豊島消防署,6800462,2.1,1.63,2.02,2.45,4.42,0.9,12.6,5.8,32.0,51.4,1.8,24.6,11.4,62.3,0.23,177.3,10.7,15.8,666,10502,4012,8985,24165
池袋消防署,6183133,2.1,1.65,2.02,2.35,3.77,1.5,16.3,9.7,21.8,49.4,3.1,33.0,19.6,44.2,0.34,142.9,6.5,7.8,1095,12513,6391,7458,27457
