感震器の作動状況,フルサービス,フルサービス（％）,セルフサービス,セルフサービス（％）,合計,合計（％）
作動,216,37.8,57,33.7,273,36.9
不作動,319,55.9,102,60.4,421,56.9
無回答,36,6.3,10,5.9,46,6.2
合計,571,,169,,740,
