区分１,区分２,区分３,施設数（か所）
製造所,,,75
貯蔵所,屋内貯蔵所,,1762
貯蔵所,屋外タンク貯蔵所,,371
貯蔵所,屋内タンク貯蔵所,,1147
貯蔵所,地下タンク貯蔵所,,2911
貯蔵所,簡易タンク貯蔵所,,8
貯蔵所,移動タンク貯蔵所,,1585
貯蔵所,屋外貯蔵所,,169
取扱所,給油取扱所,営業用,1102
取扱所,給油取扱所,自家用,649
取扱所,販売取扱所,,325
取扱所,移送取扱所,,13
取扱所,一般取扱所,,2514
合計,,,12631
