年別,件数,事故別火災,事故別交通事故,事故別水難,事故別機械,事故別建物・工作物,事故別崩壊,事故別墜落,事故別ガス,事故別電気,事故別山岳,事故別その他
26,22500,129,4339,268,197,16166,28,328,74,0,159,812
27,22075,132,4336,269,168,15762,19,326,67,0,168,828
28,21980,139,4481,255,171,15586,13,314,56,0,162,803
