区市町村,建築物面積率木造（％）,建築物面積率防火造（％）,建築物面積率準耐火造（％）,建築物面積率耐火造（％）,道路面積率（％）,空地面積率（％）,その他面積率（％）
千代田区,0.3,0.9,0.5,26.9,21.6,33.7,16.2
中央区,0.2,2.0,0.8,25.9,24.2,29.5,17.4
港区,0.6,2.5,1.6,25.3,16.2,30.1,23.7
新宿区,0.5,8.2,3.8,25.8,12.0,17.0,32.7
文京区,0.9,9.9,4.6,23.9,10.7,17.2,32.8
台東区,1.7,9.5,4.0,22.6,17.4,16.9,27.8
墨田区,1.0,9.6,7.4,15.7,13.9,22.0,30.4
江東区,0.3,3.2,5.0,14.4,12.9,47.1,17.0
品川区,0.8,10.1,3.6,16.0,9.2,30.1,30.2
目黒区,1.2,11.6,7.2,18.2,7.0,13.2,41.7
大田区,1.3,8.0,4.9,10.7,8.2,38.7,28.2
世田谷区,1.5,13.7,5.5,12.2,5.2,20.0,41.9
渋谷区,0.4,7.2,2.9,25.2,10.7,20.7,32.9
中野区,2.0,17.1,5.2,14.8,5.0,11.9,44.0
杉並区,2.0,17.5,5.8,10.2,5.1,15.4,44.2
豊島区,1.0,11.5,6.2,21.2,8.7,12.0,39.4
北区,0.7,11.0,4.8,14.1,8.1,29.5,31.8
荒川区,1.0,11.7,9.1,13.8,8.4,22.7,33.2
板橋区,1.2,10.1,6.7,14.4,9.4,21.8,36.5
練馬区,2.6,14.6,3.1,10.4,5.2,21.7,42.4
足立区,1.1,9.6,5.6,9.7,8.4,27.8,37.6
葛飾区,1.5,11.2,5.0,9.8,7.1,29.9,35.5
江戸川区,1.3,9.6,6.9,8.1,9.6,31.5,32.9
中央防波堤,0.0,0.1,0.3,1.7,5.9,87.5,4.5
八王子市,1.0,4.4,1.3,2.7,3.3,70.7,16.6
立川市,1.2,7.0,4.0,7.6,6.3,46.1,27.8
武蔵野市,1.7,13.4,3.5,11.9,6.0,24.6,38.9
三鷹市,2.0,12.2,4.0,7.6,4.3,34.0,35.9
青梅市,0.7,2.5,0.9,1.0,1.8,83.4,9.7
府中市,1.6,9.2,3.7,8.5,7.1,39.3,30.6
昭島市,1.5,5.6,4.0,7.8,5.7,48.0,27.4
調布市,1.6,10.8,3.0,8.9,5.0,38.0,32.8
町田市,1.2,7.8,3.7,3.5,4.8,49.7,29.3
小金井市,2.0,13.5,2.5,6.9,4.2,33.3,37.8
小平市,1.6,9.3,7.1,5.5,4.5,36.4,35.6
日野市,1.0,8.9,3.0,4.8,4.6,46.2,31.6
東村山市,1.7,8.8,4.9,6.4,3.3,39.9,35.0
国分寺市,1.8,13.1,3.6,6.2,3.1,33.6,38.6
国立市,1.2,11.1,3.3,8.4,6.8,33.1,36.0
福生市,2.2,10.7,4.0,5.7,8.0,31.4,37.9
狛江市,3.0,15.1,2.4,6.8,4.2,29.2,39.3
東大和市,1.5,7.1,3.1,4.3,5.4,51.4,27.3
清瀬市,2.4,8.0,1.5,6.2,4.1,49.2,28.7
東久留米市,1.6,11.5,3.0,5.9,4.9,38.1,35.0
武蔵村山市,1.3,8.1,3.5,4.0,4.7,52.0,26.3
多摩市,0.5,5.1,2.3,8.0,9.2,49.3,25.6
稲城市,1.4,4.1,1.4,4.1,5.7,64.2,19.0
羽村市,1.9,8.0,7.9,5.9,7.4,36.9,31.9
あきる野市,0.8,2.6,0.6,0.7,1.2,84.3,9.8
西東京市,2.2,13.1,2.4,7.9,3.9,31.9,38.5
瑞穂町,1.6,4.6,3.9,3.5,4.9,60.7,20.8
日の出町,0.9,1.4,0.7,0.5,1.5,88.4,6.6
檜原村,0.2,0.1,0.0,0.0,0.4,98.6,0.8
奥多摩町,0.1,0.1,0.0,0.0,0.1,98.8,0.8
特別区小計,1.2,10.0,4.9,14.0,9.2,27.3,33.4
市町村小計,0.9,4.4,1.7,2.9,2.9,71.1,16.1
東京都合計,1.0,6.4,2.8,6.8,5.1,55.6,22.2
