区分,２４件数,２４人員,２５件数,２５人員,２６件数,２６人員,２７件数,２７人員,２８件数,２８人員
総数,425,318,442,325,430,318,343,263,391,282
大島,93,92,78,73,88,84,73,68,69,67
神津島,43,42,39,39,33,30,23,19,23,20
利島,3,3,3,3,4,3,4,4,8,7
三宅島,56,54,46,44,56,52,60,55,42,39
式根島,12,12,9,8,5,4,15,15,5,5
新島,27,26,33,31,18,18,19,19,24,23
御蔵島,2,2,3,3,2,2,2,1,2,2
八丈島,22,22,39,37,49,44,31,28,51,46
青ヶ島,4,4,4,4,6,6,1,1,2,2
その他,163,61,188,83,169,75,115,53,165,71
