自衛消防活動の種類,最も困難
火災対応のための活動（非火災を含む）,10
救助活動,15
建物外への避難の呼び掛け,96
建物内への残留の呼び掛け,70
水損防止措置（制御弁の閉鎖等）,23
落下物や転倒物のかたづけ,63
被害状況や受傷者の確認,286
交通機関や避難場所等の情報収集,163
その他,51
無回答,381
