用途区分,防火対象物数
劇場・映画館等,48
キャバレー・遊技場等,24
待合・飲食店等,21
百貨店・マーケット等,210
旅館・ホテル等,187
病院・診療所等,161
工場等,345
車庫・駐車場,39
事務所等,373
複合用途防火対象物,1383
地下街,8
高層建築物,193
危険物施設及び指定可燃物貯蔵取扱所,156
合計,3148
