区分,東京版救急受診ガイド
パソコン、スマートフォンＵＲＬ,http://www.tfd.metro.tokyo.jp/hp-kyuuimuka/guide/main/
携帯電話ＵＲＬ,http://www.tfd.metro.tokyo.jp/hp-kyuuimuka/guide/m/00kiyaku.html
