地域別１,地域別２,地域別３,基礎教育,専科教育,幹部教育,合計
多摩,受託地域,回数,3656,459,437,4552
多摩,受託地域,時間,7717,1210,854,9781
多摩,受託地域,人員,69209,17858,7265,94332
多摩,受託外地域,回数,6,1,0,7
多摩,受託外地域,時間,16,2,0,18
多摩,受託外地域,人員,323,27,0,350
島しょ地域（受託外）,,回数,130,27,13,170
島しょ地域（受託外）,,時間,377,131,31,539
島しょ地域（受託外）,,人員,3215,322,297,3834
