復旧時間,フルサービス,フルサービス（％）,セルフサービス,セルフサービス（％）,合計,合計（％）
３０分以内,3,38.9,0,0,3,16.7
１時間以内,4,27.8,0,0,4,22.2
１時間よりかかった,5,27.8,1,50.0,6,33.3
無回答,4,5.5,1,50.0,5,27.8
合計,16,,2,,18,
