対象区域名,木造建築物１階,木造建築物２階,木造建築物３階以上,防火造建築物１階,防火造建築物２階,防火造建築物３階以上,準耐火造建築物１階,準耐火造建築物２階,準耐火造建築物３階以上,耐火造建築物１階,耐火造建築物２階,耐火造建築物３階,耐火造建築物４階,耐火造建築物５階,耐火造建築物６階,耐火造建築物７階,耐火造建築物８階,耐火造建築物９階,耐火造建築物１０階,耐火造建築物１１階,耐火造建築物１２階,耐火造建築物１３階,耐火造建築物１４階,耐火造建築物１５～１９階,耐火造建築物２０～２４階,耐火造建築物２５～２９階,耐火造建築物３０～３９階,耐火造建築物４０～４９階,耐火造建築物５０階以上,計
千代田区,96,145,23,104,1289,287,301,220,104,394,288,882,1530,1774,1130,903,897,781,422,130,125,57,62,82,48,20,24,5,0,12123
中央区,105,360,13,160,3435,613,134,268,548,206,367,1287,1728,1863,1172,1061,1074,1005,602,268,220,114,111,73,21,7,15,5,5,16840
港区,612,969,20,1153,6187,392,842,1270,1229,1683,1322,4148,2700,2156,1182,1119,1045,893,506,267,189,115,159,121,64,49,40,31,4,30467
新宿区,525,728,4,638,19134,839,3951,3445,4568,665,1858,6760,3998,2515,1069,830,736,592,522,249,156,118,124,68,17,18,18,8,7,54160
文京区,426,944,11,1522,14741,673,1595,2489,3466,835,1223,4532,2229,1329,610,455,390,293,283,172,133,78,110,59,10,5,1,1,0,38615
台東区,625,1507,8,473,13766,1635,1471,1217,3523,177,690,3775,4392,2852,1148,759,689,538,424,217,130,94,88,45,2,1,4,0,0,40250
墨田区,843,1257,13,947,20375,545,545,3948,8161,165,526,2619,3055,1524,745,568,343,260,224,142,108,61,82,30,5,5,3,2,0,47101
江東区,786,1206,56,2861,20079,1957,6426,2479,5504,1983,2128,5976,3084,1807,727,542,505,278,314,242,124,80,239,74,41,6,21,9,2,59536
品川区,1138,1506,35,1901,31790,3279,2489,2443,5361,1438,1375,5373,2459,1291,582,444,403,279,222,174,111,82,146,55,31,16,13,2,0,64438
目黒区,818,1479,13,1024,20297,739,1395,8643,4349,1511,2631,5366,1966,883,364,331,168,103,105,64,42,28,17,9,3,3,3,2,0,52356
大田区,3368,7633,15,2370,62660,6670,2965,14338,11677,888,2835,9851,4102,1932,855,593,370,233,213,139,73,62,69,43,9,8,0,0,0,133971
世田谷区,4484,5530,5,5352,86590,7659,3354,20137,11981,2701,4669,10881,4583,2181,690,490,287,161,143,55,49,33,39,12,2,5,2,1,0,172076
渋谷区,274,447,3,837,13017,1003,621,2127,2941,407,1412,6228,3157,1737,840,763,673,430,324,130,95,63,87,49,18,6,5,2,1,37697
中野区,1235,2661,10,1086,33450,2990,464,4936,3430,178,3004,4675,2136,993,377,292,190,122,80,62,32,13,12,9,2,3,2,0,0,62444
杉並区,2605,4898,0,2622,69820,4561,892,14249,5240,690,2564,5145,2618,1309,481,356,241,108,87,48,34,21,20,5,1,1,0,0,0,118616
豊島区,644,1101,15,697,21239,1097,293,5883,4226,478,1849,6941,2828,1557,687,552,506,324,289,136,92,56,81,41,7,6,7,1,2,51635
北区,1330,921,5,2330,32826,2304,5152,4589,5628,1164,1459,6447,2324,1298,453,319,240,131,129,115,71,47,78,34,10,0,0,0,0,69404
荒川区,918,789,6,1728,18602,689,1728,3422,7900,411,354,2374,1663,679,319,216,167,111,134,78,56,26,56,34,15,4,8,1,0,42488
板橋区,2634,2847,29,6785,41903,2463,7745,10136,10391,1129,1923,7015,3165,1719,612,397,261,155,140,159,72,40,90,40,3,1,2,0,0,101856
練馬区,5170,10930,1,3755,86970,4355,1944,11382,2931,1958,5122,7220,2294,1271,521,352,230,96,108,50,32,20,87,8,2,7,3,0,0,146819
足立区,4231,4733,22,5499,72419,3365,10784,13894,9603,1462,4481,9780,2126,1623,470,426,274,167,105,77,60,44,95,34,5,3,0,0,0,145782
葛飾区,2401,4816,36,4624,51450,5256,8176,8243,8612,1520,3591,7115,1758,867,350,265,144,79,77,51,35,29,46,23,2,1,1,0,0,109568
江戸川区,3648,5617,113,8214,57522,7288,3599,12740,19570,893,2156,5706,2651,1252,651,532,302,210,203,161,89,56,130,29,9,2,1,0,0,133344
中央防波堤,0,0,0,25,6,0,123,20,1,10,9,12,4,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,214
計１,38910,63003,456,56691,799302,60647,66960,152483,140916,22928,47809,130041,62491,36363,16014,12548,10116,7342,5645,3177,2124,1335,2024,974,326,177,173,70,20,1741065
計２,102369,※,※,916640,※,※,360359,※,※,361697,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※
