エレベーターの状況,対象物数
どこかの階に着床し、扉が開いた状態であった,258
運転中だったが、最寄りの階等に着床し扉が開いた,1052
運転中に停止し、人が閉じ込められてしまった,29
その他／・最寄り階停止、ＢＯＸ内消灯して扉は閉止／・自動着床し、扉が開放した後、自動で扉が閉鎖／・客用エレベーターのロープが絡まった。／・緊急地震速報で停止／等,141
わからない,39
