自主防災組織等,対象・目的等,組織数（組織、団、クラブ）,人員（人）,調査基準日（現在）
防災市民組織,地域社会の中で、町会・自治会をベースに、地域の人々が協力し合って災害に立ち向かうことを目的として結成された組織,6884,4009879,平成28年4月1日
女性防火組織,女性を対象とし、防火防災に関する知識、技術を身に付け、地域住民に対する防火防災思想の普及に寄与することを目的として結成された組織,81,16157,平成29年4月1日
消防少年団,小学１年生から高校３年生までの児童及び生徒を対象とし、防火防災に関する知識、技術を身に付け、地域住民に対する防火防災思想の普及に寄与することを目的として結成された組織,80,4640,平成29年5月1日
幼年消防クラブ,幼稚園・保育園を単位として、園長等が中心となって防火防災教育を行うことを目的として結成された組織,1564,193880,平成29年5月1日
