種類,必要,必要（％）,不要,不要（％）,無回答,無回答（％）
書類棚,1472,91.9,27,1.7,103,6.4
コピー機,1018,63.5,431,26.9,153,9.6
机,653,40.8,761,47.5,188,11.7
ノートパソコン,571,35.6,836,52.2,195,12.2
デスクトップ型パソコン,1015,63.4,393,24.5,194,12.1
サーバーラック,1264,78.9,151,9.4,187,11.7
テレビ,1247,77.8,194,12.1,161,10.0
電子レンジ,937,58.5,446,27.8,219,13.7
冷蔵庫,1043,65.1,367,22.9,192,12.0
その他,94,5.9,13,0.8,1495,93.3
