隊名,全出場状況出場件数（件）,全出場状況平均現着時間（分）,東京駅への出場状況出場件数（件）,東京駅への出場状況平均現着時間（分）,新宿駅への出場状況出場件数（件）,新宿駅への出場状況平均現着時間（分）,歌舞伎町への出場状況出場件数（件）,歌舞伎町への出場状況平均現着時間（分）,西新宿への出場状況出場件数（件）,西新宿への出場状況平均現着時間（分）
本部機動第１救急,2037,4.9,251,2.8,82,4.1,179,4.6,231,3.5
本部機動第２救急,2145,5.2,185,2.9,129,4.3,199,4.8,352,3.8
合計（平均）,4182,5.0,436,2.8,211,4.2,378,4.7,583,3.7
