"年[西暦]","凶悪犯 強盗[件]","凶悪犯 その他[件]","粗暴犯 凶器準備集合[件]","粗暴犯 暴行[件]","粗暴犯 傷害[件]","粗暴犯 脅迫[件]","粗暴犯 恐喝[件]","侵入窃盗 金庫破り[件]","侵入窃盗 学校荒し[件]","侵入窃盗 事務所荒し[件]","侵入窃盗 出店荒し[件]","侵入窃盗 空き巣[件]","侵入窃盗 忍込み[件]","侵入窃盗 居空き[件]","侵入窃盗 その他[件]","非侵入窃盗 自動車盗[件]","非侵入窃盗 オートバイ盗[件]","非侵入窃盗 自転車盗[件]","非侵入窃盗 車上ねらい[件]","非侵入窃盗 自販機ねらい[件]","非侵入窃盗 工事場ねらい[件]","非侵入窃盗 すり[件]","非侵入窃盗 ひったくり[件]","非侵入窃盗 置引き[件]","非侵入窃盗 万引き[件]","非侵入窃盗 その他[件]","その他 詐欺[件]","その他 占有離脱物横領[件]","その他 その他知能犯[件]","その他 賭博[件]","その他 その他刑法犯[件]","総合計[件]"
"2018","14","25","0","298","196","23","14","9","2","17","69","42","4","5","19","2","12","516","35","15","10","179","5","108","320","903","306","145","38","0","499","3830"
"2019","25","19","0","261","171","20","19","10","0","12","36","22","3","1","22","2","8","483","35","3","10","171","10","95","351","889","221","104","17","0","454","3474"
"2020","12","25","0","177","114","12","12","5","0","6","43","7","4","1","11","2","4","335","23","6","10","44","1","50","259","592","191","65","21","3","374","2409"
"2021","9","14","0","166","120","24","6","7","2","8","59","1","1","1","12","7","5","294","7","2","4","19","0","45","253","569","214","59","20","2","298","2228"
"2022","6","14","0","234","177","24","7","4","0","4","16","19","3","0","10","3","9","366","28","1","5","34","3","42","243","682","208","72","28","0","378","2620"

"令和5年度港区行政資料集　刑法犯の罪種及び手口別認知状況","Ver202303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
