"町丁目","総合支所","平成28年度調査区域面積[ha]","令和3年度調査区域面積[ha]","平成28年度緑被地面積[平方メートル]","令和3年度緑被地面積[平方メートル]","緑被地面積増減（H28→R3)[平方メートル]","平成28年度緑被率[％]","令和3年度緑被率[％]","緑被地面積増減率[％]","緑被率増減(H28→R3)[ポイント]"
"芝一丁目","芝地区","6.69","6.69","6318","7765","1446.58","9.45","11.61","2.16","2.16"
"芝二丁目","芝地区","16.58","16.58","14242","18339","4097","8.59","11.06","2.47","2.47"
"芝三丁目","芝地区","15.38","15.38","12114","15425","3311","7.88","10.03","2.15","2.15"
"芝四丁目","芝地区","9.43","9.43","9292","11112","1821","9.85","11.78","1.93","1.93"
"芝五丁目","芝地区","21.50","21.50","22050","23955","1905","10.25","11.14","0.89","0.89"
"海岸一丁目","芝地区","38.97","39.20","75444","75876","431","19.36","19.36","0.11","-0.00"
"東新橋一丁目","芝地区","23.60","23.56","36667","37956","1289","15.53","16.11","0.55","0.58"
"東新橋二丁目","芝地区","7.29","7.34","4259","4998","739","5.84","6.81","1.01","0.97"
"新橋一丁目","芝地区","7.45","7.45","2618","4053","1435","3.51","5.44","1.93","1.93"
"新橋二丁目","芝地区","9.96","9.96","2456","2723","267","2.47","2.74","0.27","0.27"
"新橋三丁目","芝地区","6.41","6.41","2134","2640","506","3.33","4.12","0.79","0.79"
"新橋四丁目","芝地区","6.67","6.68","2934","4244","1310","4.40","6.36","1.96","1.96"
"新橋五丁目","芝地区","7.44","7.44","4159","4352","193","5.59","5.85","0.26","0.26"
"新橋六丁目","芝地区","7.85","7.85","4369","5652","1282","5.57","7.20","1.63","1.63"
"西新橋一丁目","芝地区","10.40","10.40","5530","8716","3187","5.32","8.38","3.06","3.06"
"西新橋二丁目","芝地区","9.32","9.32","8425","9356","932","9.04","10.04","1.00","1.00"
"西新橋三丁目","芝地区","11.43","11.43","6793","9353","2560","5.94","8.19","2.24","2.24"
"三田一丁目","芝地区","23.12","23.12","39567","37477","-2091","17.12","16.21","-0.90","-0.90"
"三田二丁目","芝地区","31.83","31.83","98360","100266","1907","30.90","31.50","0.60","0.60"
"三田三丁目","芝地区","16.55","16.55","24143","24539","396","14.58","14.82","0.24","0.24"
"浜松町一丁目","芝地区","8.81","8.81","3774","6181","2407","4.29","7.02","2.73","2.73"
"浜松町二丁目","芝地区","8.19","8.19","4382","5948","1565","5.35","7.26","1.91","1.91"
