"年度[西暦]","性質","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2018 ","人件費","20312291","14.6","19936941","14.0"
"2018 ","(うち職員給)","13506014","9.7","13297464","9.3"
"2018 ","物件費","40307391","29.0","38486097","26.9"
"2018 ","維持補修費","1020295","0.7","988744","0.7"
"2018 ","扶助費","26053976","18.8","25763381","18.0"
"2018 ","補助費等","10436309","7.5","11392526","8.0"
"2018 ","普通建設事業費","25916967","18.7","23866020","16.7"
"2018 ","(うち受託事業費)","73031","0.1","73031","0.1"
"2018 ","公債費","387982","0.3","387982","0.3"
"2018 ","積立金","6081123","4.4","14484511","10.1"
"2018 ","投資及び出資金","0","0.0","0","0.0"
"2018 ","貸付金","505221","0.4","497007","0.3"
"2018 ","繰出金","7358445","5.3","6546860","4.6"
"2018 ","予備費","500000","0.4","500000","0.4"
"2018","歳出合計","138880000","100","142850069","100"
"2019","人件費","20366408","14.4",,
"2019","(うち職員給)","13762096","9.7",,
"2019","物件費","43703355","30.9",,
"2019","維持補修費","951596","0.7",,
"2019","扶助費","27248464","19.2",,
"2019","補助費等","9569989","6.8",,
"2019","普通建設事業費","26830833","19.0",,
"2019","(うち受託事業費)","54394","0.0",,
"2019","公債費","244127","0.2",,
"2019","積立金","4090376","2.9",,
"2019","投資及び出資金","0","0.0",,
"2019","貸付金","501711","0.4",,
"2019","繰出金","7563141","5.3",,
"2019","予備費","500000","0.4",,
"2019","歳出合計","141570000","100",,

"令和元年度港区行政資料集　一般会計歳出予算（性質別）","Ver201903",,,,
