管内,ブロック,消火隊名,協力町会,協力町会,協力町会,ポンプ配備場所
本所消防署,東駒形出張所ブロック,横石,横網,石原一丁目,,墨田区横網2-3 横網町公園
本所消防署,東駒形出張所ブロック,亀沢一・二丁目,亀沢一丁目,亀沢二丁目,,墨田区亀沢2-13-7 亀沢第一児童遊園
本所消防署,東駒形出張所ブロック,亀沢三,亀沢三丁目,,,墨田区亀沢3-4-8 つくし児童遊園
本所消防署,東駒形出張所ブロック,亀沢四丁目第1,亀沢四丁目,,,墨田区亀沢4-11-15 竪川中学校裏
本所消防署,東駒形出張所ブロック,亀沢四丁目第2,亀沢四丁目,,,墨田区亀沢4-18-8 ささのは児童遊園
本所消防署,東駒形出張所ブロック,石原二,石原二丁目,,,墨田区石原2-1-5 二葉小学校
本所消防署,東駒形出張所ブロック,石原三,石原三丁目,,,墨田区石原3-18　防災管理用地
本所消防署,東駒形出張所ブロック,石原四,石原四丁目,,,墨田区石原4-33-14 錦糸中学校
本所消防署,東駒形出張所ブロック,本所三,本所三丁目,,,墨田区本所3-15-5 ソーシャルインキュベーションオフィスＳＵＭＩＤＡ
本所消防署,東駒形出張所ブロック,本所四,本所四丁目,,,墨田区本所4-18-21 本四三ツ目児童遊園
本所消防署,東駒形出張所ブロック,東駒形三,東駒形三丁目,,,墨田区東駒形3-1-10 本所中学校
本所消防署,東駒形出張所ブロック,東駒形四,東駒形四丁目,,,墨田区東駒形4-1-4 横川公園
本所消防署,緑出張所ブロック,千歳,千歳中央,千歳三丁目,,墨田区千歳3-1-1 六間堀児童遊園
本所消防署,緑出張所ブロック,立菊,立川一丁目,立川二丁目,菊川一丁目,墨田区菊川1-18-5 ライフ敷地内
本所消防署,緑出張所ブロック,両国,両国三丁目,両国四丁目,,墨田区両国3-1 千歳橋北詰
本所消防署,緑出張所ブロック,緑一,緑一丁目,,,墨田区緑1-1 二之橋北詰
本所消防署,緑出張所ブロック,緑二,緑二丁目,,,墨田区緑2-8-12 とちのき児童遊園
本所消防署,小梅出張所ブロック,吾妻橋二,吾妻橋二丁目,,,墨田区吾妻橋2-20 源森橋橋台敷
本所消防署,小梅出張所ブロック,吾妻橋三,吾妻橋三丁目,,,墨田区吾妻橋3-13 源森橋橋台敷
本所消防署,小梅出張所ブロック,向島一,向島一丁目,,,墨田区向島1-3 隅田公園
本所消防署,小梅出張所ブロック,小梅一,小梅一丁目,,,墨田区向島1-33-3 小梅児童遊園
本所消防署,小梅出張所ブロック,向島二・三第1,向島二・三,,,墨田区向島2-1 隅田公園
本所消防署,小梅出張所ブロック,向島二・三第2,向島二・三,,,墨田区向島2-1 隅田公園
本所消防署,小梅出張所ブロック,向島二睦,向島二丁目睦,,,墨田区向島2-1 隅田公園
本所消防署,小梅出張所ブロック,向島四南,向島四丁目南,,,墨田区向島4-1-5 交番横植樹帯
本所消防署,小梅出張所ブロック,向島五東,向島五丁目東,,,墨田区向島5-38-7 さくらんぼ児童遊園
本所消防署,小梅出張所ブロック,向島四北,向島四丁目北,,,墨田区向島4-12-11 請地児童遊園
向島消防署,向島本署・墨田出張所第１ブロック,墨田四丁目,隅田町東,,,墨田区墨田4-34-20 隅田東第二児童遊園
向島消防署,向島本署・墨田出張所第１ブロック,八広六丁目,八広六西,,,墨田区八広5-12-10 八広小学校
向島消防署,向島本署・墨田出張所第１ブロック,東向島五丁目第1,東向島親交,,,墨田区東向島5-39-8 すずかけ児童遊園
向島消防署,向島本署・墨田出張所第１ブロック,東向島六丁目第1,東向島親交,,,墨田区東向島6-60-6 やまぶき児童遊園
向島消防署,向島本署・墨田出張所第１ブロック,東向島五丁目第2,寺七西,玉の井,,墨田区東向島5-24-1 こでまり児童遊園
向島消防署,向島本署・墨田出張所第１ブロック,東向島六丁目第2,寺六中央,,,墨田区東向島6-40-2 なつめ児童遊園
向島消防署,向島本署・墨田出張所第１ブロック,東向島四丁目,東向島,,,墨田区東向島4-30-2 第二寺島小学校
向島消防署,向島本署・墨田出張所第１ブロック,東向島三丁目,東向島宮元,,,墨田区東向島3-18-3 向島百花園
向島消防署,向島本署・墨田出張所第１ブロック,隅田・梅若,隅田中央,鐘ヶ淵,梅若,墨田区墨田2-38-13 梅若保育園
向島消防署,向島本署・墨田出張所第２ブロック,東向島六丁目第3,東向島六丁目第一,,,墨田区東向島6-8-1 第三寺島小学校
向島消防署,向島本署・墨田出張所第２ブロック,東向島二丁目第1,東向島二丁目,,,墨田区東向島2-38-7 生涯学習センター
向島消防署,向島本署・墨田出張所第２ブロック,東向島一丁目,東向一南,,,墨田区東向島1-34-5 あずなろ児童遊園
向島消防署,向島本署・墨田出張所第２ブロック,東向島二丁目第2,曳舟中,,,墨田区東向島2-17-14 すみだボランティアセンター
向島消防署,向島本署・墨田出張所第２ブロック,東向島二丁目第3,曳舟中,,,墨田区東向島2-7-5 ふじのき公園
向島消防署,向島本署・墨田出張所第２ブロック,八広一丁目,八広一丁目南,八広,,墨田区八広1-17-15 寺島中学校
向島消防署,向島本署・墨田出張所第２ブロック,京島一丁目,京一曳舟,,,墨田区京島1-40-1 曳舟さくら公園
向島消防署,向島本署・墨田出張所第２ブロック,京島三丁目第1,京島南,,,墨田区京島3-10-9 からたち児童遊園
向島消防署,向島本署・墨田出張所第２ブロック,八広二丁目第2,八広二丁目南,,,墨田区八広2-36-3 第三吾嬬小学校
向島消防署,向島本署・墨田出張所第２ブロック,京島三丁目第3,京島三丁目東,,,墨田区京島3-44-14 原公園
向島消防署,立花出張所ブロック,立花五丁目第1,立花五丁目,立花六丁目,,墨田区立花5-15 吾嬬ポンプ場
向島消防署,立花出張所ブロック,立花五丁目第2,立花五丁目東,,,墨田区立花5-38-3　中川公園
向島消防署,立花出張所ブロック,文花三丁目,宮田,,,墨田区文花3-20 東武鉄道用地
向島消防署,立花出張所ブロック,立花二丁目仲東,立花二丁目仲,立花東,,墨田区立花2-29-8 東あずま公園
向島消防署,立花出張所ブロック,文花二丁目第1,文花二丁目,立花一丁目団地自治会,,墨田区文花2-7 都営文花二丁目アパート
向島消防署,立花出張所ブロック,立花一丁目（休隊中）,立花平成,立花二丁目,,墨田区立花1-10-2 立花一丁目こども広場
向島消防署,立花出張所ブロック,文花二丁目第2,文花宮元,文花二丁目,,墨田区文花1-32　文花市場裏都有地
向島消防署,立花出張所ブロック,文花一丁目,文花第二自治会,,,墨田区文花1-32　文花市場裏都有地
