"職種","職別現員 係長[人]","職別現員 主査[人]","職別現員 主任[人]","職別現員 係員[人]","職別現員 校・園長[人]","職別現員 副校･園長[人]","職別現員 主幹教諭[人]","職別現員 主任教諭[人]","職別現員 教諭[人]","職別現員 計[人]","所属別現員 教育委[人]","所属別現員 中学校[人]","所属別現員 小学校[人]","所属別現員 幼稚園[人]","定数外 自治法上派遣[人]","定数外 休職、結核休養[人]","定数外 育休、公務災害休養[人]","定数外 配偶者同行休業[人]"
"事務","0","0","10","3","0","0","0","0","0","13","0","7","6","0","0","0","1","0"
"１自動車運転","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"２警備","0","0","3","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0"
"２作業１","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"３調理","0","0","19","1","0","0","0","0","0","20","0","0","20","0","0","0","0","0"
"３用務","4","0","29","6","0","0","0","0","0","39","0","0","39","0","0","0","0","0"
"３作業２","0","0","4","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0"
"幼稚園教育職員","0","0","0","0","11","3","0","22","28","64","1","0","0","63","1","0","7","0"
"区費指導主事","0","0","0","0","2","1","4","0","0","7","7","0","0","0","0","0","0","0"
"(2)学校関係計","4","0","66","10","13","4","4","22","28","151","8","7","73","63","1","0","8","0"

"令和4年度港区行政資料集　学校関係職員（常勤職員）","Ver202204",,,,,,,,,,,,,,,,,
