施設名称,所在地,緯度,経度,URL
本所松坂町公園,墨田区両国三丁目13番9号,35.693326,139.794298,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park01.html
両国公園,墨田区両国四丁目25番3号,35.693679,139.79594,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park02.html
千歳公園,墨田区千歳二丁目2番1号,35.690564,139.795173,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park45.html
菊川公園,墨田区立川四丁目12番21号,35.691169,139.807618,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park03.html
中和公園,墨田区菊川一丁目18番25号,35.689561,139.802629,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park04.html
江東橋公園,墨田区江東橋二丁目4番11号,35.693905,139.811609,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park05.html
竪川第一公園,墨田区江東橋四丁目1番3号,35.693382,139.817097,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park06.html
錦糸堀公園,墨田区江東橋四丁目17番1号,35.694722,139.816378,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park07.html
竪川親水公園,墨田区江東橋一丁目・二丁目・四丁目・五丁目地先,35.693247,139.818256,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park61.html
旧安田庭園,墨田区横網一丁目12番1号,35.698379,139.793698,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park08.html
緑町公園,墨田区亀沢二丁目7番7号,35.696685,139.800438,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park09.html
日進公園,墨田区亀沢三丁目24番3号,35.698671,139.804249,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park10.html
若宮公園,墨田区本所二丁目2番19号,35.702531,139.801492,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park11.html
横川公園,墨田区東駒形四丁目18番21号,35.706711,139.806366,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park12.html
吾妻橋公園,墨田区吾妻橋一丁目12番1号,35.708917,139.798896,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park13.html
大横川親水公園,墨田区吾妻橋三丁目、業平一丁目、東駒形四丁目、横川一丁目、本所四丁目、太平一丁目、石原四丁目、錦糸一丁目、亀沢四丁目、江東橋一丁目、緑四丁目地先,35.700523,139.808396,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park60.html
錦糸公園,墨田区錦糸四丁目15番1号,35.698989,139.816464,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park14.html
横川東公園,墨田区横川五丁目2番8号,35.703117,139.817744,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park41.html
横川さんかく公園,墨田区横川五丁目9番31号,35.705694,139.8178,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park64.html
おしなり公園,墨田区押上一丁目、業平一丁目・二丁目・三丁目地先,35.709586,139.811781,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/oshinarikouen.html
業平公園,墨田区業平二丁目3番2号,35.70636,139.812358,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park15.html
隅田公園,墨田区向島一丁目、二丁目、五丁目地先,35.71224,139.80374,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park33.html
銅像堀公園,墨田区向島五丁目9番1号,35.721152,139.809952,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park16.html
ふじのき公園,墨田区東向島二丁目7番5号,35.717469,139.815332,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park29.html
東向島ふじ公園,墨田区東向島二丁目46番7号,35.720198,139.818583,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park38.html
長寿庭園,墨田区東向島四丁目8番20号,35.727144,139.815418,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park27.html
東向島北公園,墨田区東向島四丁目12番19号,35.725772,139.815912,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park25.html
さつき公園,墨田区東向島六丁目19番12号,35.722476,139.820369,https://www.city.sumida.lg.jp/sisetu_info/kouen/kunai_park_annai/sumida_park/park30.html
