施設名称,所在地,緯度,経度,電話番号,URL
墨田みどり保育園,墨田区亀沢三丁目7番11号,35.696426,139.803397,03-3624-4508,http://www.sumidamidori.com/
墨田みどり保育園分園,墨田区亀沢三丁目6番1号,35.696436,139.803934,03-6240-4917,http://www.sumidamidori.com/
ほがらか保育園,墨田区墨田四丁目30番14号,35.733755,139.823314,03-3611-7685,https://www.hogaraka-hoikuen.jp/
光の園保育学校,墨田区東駒形四丁目6番2号,35.706026,139.805354,03-3622-8867,http://fukushi.unchusha.com/hikarinosono/index.html
光の園保育学校外手分園,墨田区本所二丁目1番16号,35.702306,139.800454,03-3621-1461,http://fukushi.unchusha.com/hikarinosono/index.html
厚生館保育園,墨田区立花五丁目21番3号,35.712068,139.830661,03-3613-1931,http://kouseikan-hoiku.com/
共愛館保育園,墨田区押上三丁目53番6号,35.712323,139.819938,03-3617-4460,
菊川保育園,墨田区江東橋五丁目3番3号,35.6892,139.810936,03-3633-1888,https://bethanyhome.jimdo.com/%E6%96%BD%E8%A8%AD%E7%B4%B9%E4%BB%8B/%E8%8F%8A%E5%B7%9D%E4%BF%9D%E8%82%B2%E5%9C%92/
興望館保育園,墨田区京島一丁目11番6号,35.71508,139.817446,03-3611-1880,http://www.kobokan.jp/hoiku.htm
さゆり保育園,墨田区東向島六丁目7番8号,35.721627,139.820564,03-3611-1912,http://aiikuen-sayuri.com/
木ノ下保育園,墨田区墨田四丁目60番13号,35.730555,139.826173,03-3612-5458,http://www.kinoshita-hoikuen.ed.jp/
杉の子学園保育所,墨田区東向島二丁目13番6号,35.717361,139.816328,03-3619-4153,http://www.suginokogakuen.com/
ナースリー保育園,墨田区東向島六丁目15番5号,35.722003,139.821324,03-3613-3470,http://www.nersery-hoikuen.com/
ナースリー保育園分園,墨田区東向島六丁目16番10号,35.721904,139.821032,03-3613-3470,http://www.nersery-hoikuen.com/
育正保育園,墨田区東駒形一丁目3番15号,35.706925,139.797929,03-5819-4533,http://www.ikusei.ne.jp/
こひつじ保育園,墨田区緑二丁目23番3号,35.695793,139.801334,03-5600-1211,https://bethanyhome.jimdo.com/%E6%96%BD%E8%A8%AD%E7%B4%B9%E4%BB%8B/%E3%81%93%E3%81%B2%E3%81%A4%E3%81%98%E4%BF%9D%E8%82%B2%E5%9C%92/
わらべみどり保育園,墨田区緑三丁目12番2号,35.694559,139.80445,03-5638-1551,http://www.ans.co.jp/n/warabemidori/
