"年度[西暦]","ポート数","自転車保有台数[台]","会員登録者数[人]","利用回数[回]"
"2017","85","1710","58582","1101935"
"2018","102","1710","90801","1668285"
"2019","116","1710","122567","2078986"
"2020","130","1710","151893","2120594"
"2021","147","1710","182922","2395297"

"令和4年度港区行政資料集　自転車シェアリング","Ver202203",,,
