施設名,施設名(英語),電話番号,都道府県名,市区町村名,行政区名,住所,利用時間帯,フリー電源,カバーエリア,緯度,経度,利用開始時刻,利用終了時刻
新宿駅西口　地下タクシー乗り場前,Shinjuku Sta. West exit 　underground taxi stand,"",東京都,新宿区,"",西新宿1,"","","",35.6911,139.69777,"",""
新宿駅東口　アルタ前（２基設置）,Shinjuku Sta. East exit 　“ALTA”,"",東京都,新宿区,"",新宿3-24-3,"","","",35.69267,139.70139,"",""
歌舞伎町　交差点,Kabukicho 　Intersection,"",東京都,新宿区,"",歌舞伎町1-17-13,"","","",35.69409,139.70135,"",""
歌舞伎町　セントラルロード,Kabukicho 　“Central Road”,"",東京都,新宿区,"",歌舞伎町1-14-3,"","","",35.69452,139.70206,"",""
歌舞伎町　一番街,Kabukicho 　“1st Avenue”,"",東京都,新宿区,"",歌舞伎町1-23-10,"","","",35.69426,139.70093,"",""
新宿西口駅　思い出横丁南,Shinjuku Nishiguchi Sta. 　“Omoide Yokocho” south,"",東京都,新宿区,"",西新宿1-4-2,"","","",35.69304,139.69801,"",""
新宿駅東口　モア２番街南,Shinjuku Sta. East exit 　“MOA 2nd Street” south,"",東京都,新宿区,"",新宿3-23-17,"","","",35.69327,139.70085,"",""
新宿駅東口　モア４番街南,Shinjuku Sta. East exit 　“MOA 4th Street” south,"",東京都,新宿区,"",新宿3-26-11,"","","",35.69154,139.70186,"",""
新宿駅東南口　広場前,Shinjuku Sta. East-South exit 　square,"",東京都,新宿区,"",新宿3-37,"","","",35.69017,139.70145,"",""
新宿駅南口　バスタ新宿前,Shinjuku Sta. South exit 　“Shinjuku Expressway Bus Terminal”,"",東京都,新宿区,"",新宿3-38-2,"","","",35.69214,139.70129,"",""
西新宿一丁目交差点,Nishi-Shinjuku 1 Intersection,"",東京都,新宿区,"",西新宿1-1-5,"","","",35.69027,139.69939,"",""
京王百貨店前（２基設置）,Keio Department Store outside,"",東京都,新宿区,"",西新宿1-1-4,"","","",35.69027,139.69939,"",""
新宿駅東口　タクシー乗り場前,Shinjuku Sta. East exit 　taxi stand,"",東京都,新宿区,"",新宿3-38-1,"","","",35.69214,139.70129,"",""
新宿駅東南口　Flags前,Shinjuku Sta. East-South exit 　“Flags“,"",東京都,新宿区,"",新宿3-36-6,"","","",35.69034,139.7019,"",""
伊勢丹本館前,ISETAN Shinjuku Main Store outside,"",東京都,新宿区,"",新宿3-14-1,"","","",35.69234,139.70471,"",""
新宿三丁目交差点,Shinjuku 3 Intersection,"",東京都,新宿区,"",新宿3-4-4,"","","",35.69087,139.7054,"",""
高田馬場駅早稲田口　西,Takadanobaba Sta. Waseda exit westside,"",東京都,新宿区,"",高田馬場3-1-4,"","","",35.714317,139.703598,"",""
高田馬場駅早稲田口　ロータリー,Takadanobaba Sta. Waseda exit rotary intersection,"",東京都,新宿区,"",高田馬場1-26-5,"","","",35.712883,139.704865,"",""
高田馬場駅戸山口　東,Takadanobaba Sta. Toyama exit east ,"",東京都,新宿区,"",高田馬場1-28-4,"","","",35.71159,139.704315,"",""
大久保駅北口,Okubo Sta. North exit,"",東京都,新宿区,"",百人町2-23-1,"","","",35.70179,139.696976,"",""
新大久保駅北口　西,Shin-Okubo Sta. North exit westside,"",東京都,新宿区,"",百人町2-4-1,"","","",35.70155,139.700104,"",""
新大久保駅北口　東,Shin-Okubo Sta. North exit eastside,"",東京都,新宿区,"",百人町2-3-23,"","","",35.701492,139.701004,"",""
信濃町駅,Shinanomachi Sta.,"",東京都,新宿区,"",南元町19,"","","",35.679428,139.720978,"",""
JR四ツ谷駅四ツ谷口,JR Yotsuya Sta. Yotsuya exit,"",東京都,新宿区,"",四谷1-4-2,"","","",35.686832,139.728683,"",""
JR四ツ谷駅赤坂口,JR Yotsuya sta. Akasaka exit,"",東京都,新宿区,"",四谷1-2,"","","",35.68578,139.728958,"",""
西武線中井駅,Seibu Line Nakai Station,"",東京都,新宿区,"",中落合1-20-15,"","","",35.714939,139.687393,"",""
大江戸線中井駅A2出口,Oedo Line Nakai Station A2 exit,"",東京都,新宿区,"",上落合2-20-6,"","","",35.714153,139.686829,"",""
神楽坂下交差点,Kagurazaka-shita Intersection,"",東京都,新宿区,"",神楽坂2-1,"","","",35.700607,139.741806,"",""
地下鉄早稲田駅前交差点,Waseda Sta. Intersection,"",東京都,新宿区,"",馬場下町3,"","","",35.70573,139.720551,"",""
東新宿駅南交差点,"","",東京都,新宿区,"",新宿6-29-11,"","","",35.697765,139.707779,"",""
四谷3丁目駅前交差点,"","",東京都,新宿区,"",四谷3-9-11,"","","",35.687627,139.719669,"",""
新宿中央公園 水の広場,"","",東京都,新宿区,"",西新宿2-11,"","","",35.691105,139.687698,"",""
新宿御苑前駅1出口,"","",東京都,新宿区,"",新宿2-8-1,"","","",35.688904,139.709702,"",""
市ヶ谷駅 DNPプラザ前,"","",東京都,新宿区,"",市谷田町1-14-1,"","","",35.6936,139.736542,"",""
西新宿駅 2出口,"","",東京都,新宿区,"",西新宿8-1-3,"","","",35.694252,139.69368,"",""
