"年度[西暦]","消費者力検定講座[人]","消費者教養講座[人]","消費者教養講座 動画[人]"
"2018","30","26",
"2019","22","9",
"2020","13","17",
"2021","9","30","13"
"2022","19","38","17"

"令和5年度港区行政資料集　消費者教育講座受講状況","Ver202303",,
