区分,令和３年度条例定数,令和２年度条例定数,差引
東京都職員定数条例,39234,39104,130
知事部局等,26166,25986,180
公営企業交通局,6764,6736,28
公営企業水道局,3783,3863,△ 80
公営企業下水道局,2521,2519,2
公営企業小計,13068,13118,△ 50
学校職員定数条例,65797,65209,588
警視庁設置条例,46501,46501,0
東京消防庁職員定数条例,18661,18661,0
全任命権者総計,170193,169475,718
