 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,661","14,121,563","10,460","84,036,015",688,"12,400,983","4,094","73,481,537"
外航計,420,"10,507,071","2,460","62,396,258",397,"10,193,929","2,337","60,841,073"
外航定期計,399,"10,232,648","2,347","61,006,334",397,"10,193,929","2,337","60,841,073"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),33,"2,495,920",185,"12,807,533",31,"2,457,201",181,"12,752,836"
北米東岸(カリビア海含む),9,"877,669",63,"5,144,593",9,"877,669",63,"5,144,593"
北欧・地中海,10,"993,423",66,"6,284,880",10,"993,423",65,"6,277,878"
南米西岸,-,-,15,"1,881,070",-,-,15,"1,881,070"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,4,"177,262",26,"1,107,195",4,"177,262",24,"1,087,244"
印パ･ペルシャ･ベンガル,-,-,1,"7,487",-,-,-,-
東南アジア,142,"3,531,734",840,"21,322,994",142,"3,531,734",840,"21,322,994"
台湾,-,-,-,-,-,-,-,-
韓国,37,"323,252",243,"2,104,840",37,"323,252",243,"2,104,840"
中国(香港含む),164,"1,833,388",908,"10,345,742",164,"1,833,388",906,"10,269,618"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,21,"274,423",113,"1,389,924",-,-,-,-
内航計,"1,241","3,614,492","8,000","21,639,757",291,"2,207,054","1,757","12,640,464"
内航定期計,443,"2,814,319","2,940","16,472,939",270,"2,194,362","1,620","12,530,776"
北海道,111,"1,236,254",621,"6,836,327",111,"1,236,254",621,"6,836,327"
東北,53,"39,001",346,"327,985",53,"39,001",346,"327,985"
関東,74,"23,153",448,"154,988",-,-,2,"2,962"
伊豆諸島,69,"217,724",707,"1,679,925",-,-,-,-
中部,12,"8,235",115,"82,092",12,"8,235",115,"82,092"
近畿,10,"7,490",71,"252,724",10,"7,490",71,"252,724"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,88,"1,009,459",486,"5,599,894",58,"630,379",319,"3,489,682"
沖縄,26,"273,003",146,"1,539,004",26,"273,003",146,"1,539,004"
内航不定期,798,"800,173","5,060","5,166,818",21,"12,692",137,"109,688"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
