 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"6,398,361 ","39,909,056 ","3,750,503 ","881,807 ","2,868,696 ","23,215,430 ","5,863,699 ","17,351,731 ","2,647,858 ","1,176,741 ","1,471,117 ","16,693,626 ","6,990,285 ","9,703,341 "
公共計,"3,014,020 ","18,254,159 ","1,024,481 ","182,762 ","841,719 ","6,212,975 ","1,072,850 ","5,140,125 ","1,989,539 ","1,091,660 ","897,879 ","12,041,184 ","6,444,472 ","5,596,712 "
ドルフィン,"6,341 ","42,864 ",-,-,-,-,-,-,"6,341 ","6,341 ",-,"42,864 ","42,864 ",-
芝浦ふ頭,"54,202 ","329,881 ",-,-,-,-,-,-,"54,202 ","1,355 ","52,847 ","329,881 ","8,411 ","321,470 "
芝浦物揚場,"7,175 ","45,533 ",-,-,-,-,-,-,"7,175 ","3,799 ","3,376 ","45,533 ","30,044 ","15,489 "
日の出ふ頭,"3,135 ","17,550 ",-,-,-,-,-,-,"3,135 ",-,"3,135 ","17,550 ",-,"17,550 "
竹芝ふ頭,"4,674 ","38,890 ",-,-,-,-,-,-,"4,674 ","3,297 ","1,377 ","38,890 ","26,072 ","12,818 "
品川岸壁,"488,580 ","3,046,917 ","313,606 ","59,879 ","253,727 ","1,933,295 ","343,694 ","1,589,601 ","174,974 ","104,244 ","70,730 ","1,113,622 ","662,902 ","450,720 "
 品川コンテナ,"304,889 ","1,890,166 ","304,889 ","57,644 ","247,245 ","1,885,180 ","338,493 ","1,546,687 ",-,-,-,"4,986 ","2,466 ","2,520 "
 品川外貿,"8,717 ","48,115 ","8,717 ","2,235 ","6,482 ","48,115 ","5,201 ","42,914 ",-,-,-,-,-,-
 品川内貿,"174,974 ","1,108,636 ",-,-,-,-,-,-,"174,974 ","104,244 ","70,730 ","1,108,636 ","660,436 ","448,200 "
月島ふ頭,"2,151 ","11,593 ",-,-,-,-,-,-,"2,151 ",862 ,"1,289 ","11,593 ","5,250 ","6,343 "
10号西岸壁,"489,891 ","2,730,024 ",-,-,-,-,-,-,"489,891 ","323,850 ","166,041 ","2,730,024 ","1,731,039 ","998,985 "
10号東岸壁,"24,628 ","169,590 ",-,-,-,-,-,-,"24,628 ",133 ,"24,495 ","169,590 ",737 ,"168,853 "
東京港フェリーふ頭,"748,255 ","4,721,385 ",-,-,-,-,-,-,"748,255 ","389,895 ","358,360 ","4,721,385 ","2,444,010 ","2,277,375 "
辰巳ふ頭,"28,239 ","179,503 ",-,-,-,-,-,-,"28,239 ","14,892 ","13,347 ","179,503 ","79,276 ","100,227 "
青海コンテナふ頭（公共）,"631,637 ","4,045,954 ","620,598 ","122,883 ","497,715 ","3,943,940 ","729,156 ","3,214,784 ","11,039 ","9,735 ","1,304 ","102,014 ","75,197 ","26,817 "
大井水産物ふ頭,-,146 ,-,-,-,-,-,-,-,-,-,146 ,50 ,96 
大井食品ふ頭（OL）,"18,796 ","174,085 ","13,499 ",-,"13,499 ","132,054 ",-,"132,054 ","5,297 ",-,"5,297 ","42,031 ",-,"42,031 "
大井食品ふ頭（OM）,"8,783 ","52,228 ","8,783 ",-,"8,783 ","52,228 ",-,"52,228 ",-,-,-,-,-,-
大井食品ふ頭（ON）,"4,187 ","6,544 ","4,187 ",-,"4,187 ","5,894 ",-,"5,894 ",-,-,-,650 ,650 ,-
若洲内貿ふ頭,"53,152 ","319,263 ",-,-,-,-,-,-,"53,152 ","40,302 ","12,850 ","319,263 ","233,732 ","85,531 "
15号地木材ふ頭,"3,882 ","17,564 ","3,882 ",-,"3,882 ","13,024 ",-,"13,024 ",-,-,-,"4,540 ","3,518 ","1,022 "
若洲建材ふ頭,"49,530 ","300,214 ",-,-,-,-,-,-,"49,530 ","9,241 ","40,289 ","300,214 ","27,585 ","272,629 "
大井建材ふ頭,"101,682 ","560,148 ",-,-,-,-,-,-,"101,682 ",-,"101,682 ","560,148 ",600 ,"559,548 "
城南島建設発生土ふ頭,"99,700 ","735,650 ",-,-,-,-,-,-,"99,700 ","99,700 ",-,"735,650 ","735,650 ",-
中央防波堤内側ばら物ふ頭,"64,151 ","161,617 ","59,926 ",-,"59,926 ","132,540 ",-,"132,540 ","4,225 ","4,225 ",-,"29,077 ","13,886 ","15,191 "
中央防波堤内側建設発生土ふ頭,"31,839 ","78,508 ",-,-,-,-,-,-,"31,839 ","31,839 ",-,"78,508 ","78,508 ",-
中央防波堤内側内貿ふ頭,"89,410 ","468,508 ",-,-,-,-,-,-,"89,410 ","47,950 ","41,460 ","468,508 ","244,491 ","224,017 "
東京港埠頭㈱計,"2,251,420 ","15,442,104 ","2,170,479 ","617,364 ","1,553,115 ","14,883,712 ","4,428,042 ","10,455,670 ","80,941 ","41,803 ","39,138 ","558,392 ","268,830 ","289,562 "
青海コンテナふ頭(埠頭㈱),"259,529 ","2,539,164 ","247,384 ","38,288 ","209,096 ","2,465,495 ","550,828 ","1,914,667 ","12,145 ","12,145 ",-,"73,669 ","73,249 ",420 
お台場ライナーふ頭,"136,598 ","441,074 ","129,766 ","121,504 ","8,262 ","410,095 ","361,556 ","48,539 ","6,832 ","2,892 ","3,940 ","30,979 ","10,611 ","20,368 "
大井コンテナふ頭,"1,855,293 ","12,461,866 ","1,793,329 ","457,572 ","1,335,757 ","12,008,122 ","3,515,658 ","8,492,464 ","61,964 ","26,766 ","35,198 ","453,744 ","184,970 ","268,774 "
民間計,"1,132,921 ","6,212,793 ","555,543 ","81,681 ","473,862 ","2,118,743 ","362,807 ","1,755,936 ","577,378 ","43,278 ","534,100 ","4,094,050 ","276,983 ","3,817,067 "
,,,,,,,,,,,,,,
(注) 実績の無い係留施設は表示なし,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
