 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,30,167,30,167,
,総トン数,,"379,080","2,110,212","379,080","2,110,212",
取扱貨物,計,計,"748,255","4,721,385","748,255","4,721,385",
,,出荷,"389,895","2,444,010","389,895","2,444,010",
,,入荷,"358,360","2,277,375","358,360","2,277,375",
取　扱　台　数,バ　ス,計,4,36,4,36,
,,出荷,-,6,-,6,
,,入荷,4,30,4,30,
,トラック,計,"6,894","42,972","6,894","42,972",
,,出荷,"3,617","22,507","3,617","22,507",
,,入荷,"3,277","20,465","3,277","20,465",
,乗用車,計,"2,644","21,255","2,644","21,255",
,,出荷,"1,537","11,759","1,537","11,759",
,,入荷,"1,107","9,496","1,107","9,496",
乗降人員,計,,223,"8,086",223,"8,086",
,乗船,,160,"4,257",160,"4,257",
,降船,,63,"3,829",63,"3,829",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
