 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"272,468","126,939","1,673,511","671,934","77,043","124,684","492,786","654,802","195,425","2,255","1,180,725","17,132"
,88.4%,95.7%,95.5%,97.0%,79.4%,95.9%,96.0%,96.9%,92.5%,87.3%,95.3%,103.4%
外航計,"251,106","116,072","1,543,076","585,707","65,301","115,654","423,035","579,139","185,805",418,"1,120,041","6,568"
,88.7%,100.4%,95.4%,100.3%,76.2%,100.9%,93.9%,99.9%,94.2%,45.8%,96.0%,149.8%
外航定期計,"251,106","116,072","1,543,076","585,707","65,301","115,654","423,035","579,139","185,805",418,"1,120,041","6,568"
,88.7%,100.4%,95.4%,100.3%,76.2%,100.9%,93.9%,99.9%,94.2%,45.8%,96.0%,149.8%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"27,804","15,648","156,986","86,188","2,270","15,576","26,265","83,391","25,534",72,"130,721","2,797"
,80.6%,91.3%,72.6%,106.6%,27.6%,92.0%,37.7%,105.0%,97.1%,34.4%,89.3%,199.5%
北米東岸(カリビア海含む),"6,734","3,605","49,034","12,882","1,994","3,595","21,691","12,647","4,740",10,"27,343",235
,75.7%,219.1%,87.7%,88.8%,38.6%,224.8%,85.0%,87.8%,127.5%,21.7%,90.0%,230.4%
北欧・地中海,"29,174","4,103","188,884","22,661","18,985","4,078","99,021","21,444","10,189",25,"89,863","1,217"
,123.6%,143.3%,147.7%,158.2%,114.7%,144.0%,146.5%,151.6%,144.7%,80.6%,149.1%,679.9%
南米西岸,-,-,"12,093","7,611",-,-,"1,513","7,267",-,-,"10,580",344
,-,-,70.8%,59.3%,-,-,68.5%,58.0%,-,-,71.2%,113.5%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
