"年度","火葬利用件数 全体[件]","火葬利用件数 港区[件]","火葬利用件数 品川区[件]","火葬利用件数 目黒区[件]","火葬利用件数 大田区[件]","火葬利用件数 世田谷区[件]","火葬利用件数 他[件]","葬儀式場利用件数 全体[件]","葬儀式場利用件数 港区[件]","葬儀式場利用件数 品川区[件]","葬儀式場利用件数 目黒区[件]","葬儀式場利用件数 大田区[件]","葬儀式場利用件数 世田谷区[件]","葬儀式場利用件数 他[件]"
"2017","7285","273","1269","254","4512","655","322","1368","57","327","34","834","104","12"
"2018","7411","308","1373","256","4596","609","269","1368","69","352","34","812","91","10"
"2019","7571","310","1362","234","4800","599","266","1374","72","335","33","832","88","14"
"2020","8209","336","1435","290","5199","605","344","1369","54","331","54","824","94","12"
"2021","9003","351","1601","369","5469","767","446","1382","49","359","57","805","102","10"

"令和4年度港区行政資料集　施設利用状況一覧 臨海斎場","Ver202203",,,,,,,,,,,,,
