"年度[西暦]","種別","数量[種別に応じる]","価格[千円]"
"2018","公有財産 土地[平方メートル]","811807.70","689640231"
"2018","公有財産 建物[平方メートル]","710344.39","194331274"
"2018","公有財産 工作物",,"4473128"
"2018","公有財産 地上権等[平方メートル]","1964.70","10197"
"2018","公有財産 有価証券",,"347742"
"2018","公有財産 出資による権利",,"558941"
"2018","公有財産 特許権等",,"1102"
"2018","物品[点]","1378",
"2018","債権",,"1167776"
"2018","基金",,"164398250"
"2019","公有財産 土地[平方メートル]","820404.46","701306009"
"2019","公有財産 建物[平方メートル]","722001.36","197170240"
"2019","公有財産 工作物",,"4331653"
"2019","公有財産 地上権等[平方メートル]","1964.70","10197"
"2019","公有財産 有価証券",,"347742"
"2019","公有財産 出資による権利",,"558941"
"2019","公有財産 特許権等",,"1919"
"2019","物品[点]","1429",
"2019","債権",,"1148080"
"2019","基金",,"175991560"
"2020","公有財産 土地[平方メートル]","820504.66","703918270"
"2020","公有財産 建物[平方メートル]","717380.57","193331826"
"2020","公有財産 工作物",,"4333270"
"2020","公有財産 地上権等[平方メートル]","1964.70","10197"
"2020","公有財産 有価証券",,"347742"
"2020","公有財産 出資による権利",,"558941"
"2020","公有財産 特許権等",,"2263"
"2020","物品[点]","1404",
"2020","債権",,"1149539"
"2020","基金",,"192765453"
"2021","公有財産 土地[平方メートル]","815498.13","695820446"
"2021","公有財産 建物[平方メートル]","750073.21","210280774"
"2021","公有財産 工作物",,"4111756"
"2021","公有財産 地上権等[平方メートル]","1964.70","10197"
"2021","公有財産 有価証券",,"347742"
"2021","公有財産 出資による権利",,"558941"
"2021","公有財産 特許権等",,"2086"
"2021","物品[点]","1446",
"2021","債権",,"1110271"
"2021","基金",,"192922819"
"2022","公有財産 土地[平方メートル]","812516.99","692600802"
"2022","公有財産 建物[平方メートル]","783425.87","225497144"
"2022","公有財産 工作物",,"4234048"
"2022","公有財産 地上権等[平方メートル]","1964.70","10197"
"2022","公有財産 有価証券",,"347742"
"2022","公有財産 出資による権利",,"558941"
"2022","公有財産 特許権等",,"2273"
"2022","物品[点]","1539",
"2022","債権",,"1044810"
"2022","基金",,"201719086"

"令和5年度港区行政資料集　区有財産","Ver202303",,
