初心運転者（大型二輪免許取得者）の交通事故状況（令和5年）,,,
,,,
教  習  所,卒　業　者　数,事　故　人　員,事　故　者　率
尾      久,336,1,0.30%
江  戸  川,200,0,0.00%
ト　ヨ　タ,369,3,0.81%
東      急,525,6,1.14%
秋      津,359,2,0.56%
調      布,165,0,0.00%
日  の  丸,456,1,0.22%
和      泉,107,1,0.93%
平  和  橋,380,0,0.00%
飛 鳥 日 野,67,0,0.00%
田      無,10,0,0.00%
武  蔵  境,726,4,0.55%
新  東  京,182,1,0.55%
拝      島,184,1,0.54%
世  田  谷,269,0,0.00%
京      成,195,1,0.51%
二 子 玉 川,591,6,1.02%
石  神  井,461,1,0.22%
八王子中央,168,2,1.19%
葛  西  橋,218,0,0.00%
足      立,690,1,0.14%
北  足  立,46,0,0.00%
新  小  岩,275,2,0.73%
北 豊 島 園,209,2,0.96%
町　　　田,100,0,0.00%
多      摩,38,1,2.63%
西  多  摩,152,0,0.00%
合　　　計,"7,478",36,0.48%
