年度,Fiscal year,開園日数 Number of open days,入園人員 Number of  visitors／総数 Total,入園人員 Number of  visitors／有料 Paid／総数 Total,入園人員 Number of  visitors／有料 Paid／普通 General／大人 Adults,入園人員Number of  visitors／有料 Paid／普通 General／中学生 Junior high school students,入園人員 Number of  visitors／有料 Paid／団体 Group／大人 Adults,入園人員 Number of  visitors／有料 Paid／団体 Group／中学生 Junior high school students,入園人員 Number of  visitors／無料 Free,入園人員 Number of  visitors／1日平均 Daily average
平成22,2010,303,673407,357446,348063,448,8933,2,315961,2222
平成23,2011,318,723650,373607,359140,512,13909,46,350043,2276
平成24,2012,318,740195,403770,389840,487,13400,43,336425,2328
,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
17-18  東京都立動物園等の状況 (3) 井の頭自然文化園 (平成22～平成24年度) 17-18  STATUS OF TOKYO METROPOLITAN ZOOLOGICAL GARDENS， ETC. (3) INOKASHIRA PARK ZOO ( Fiscal Years 2010-2012 ),,,,,,,,,,
資料：公益財団法人東京動物園協会井の頭自然文化園  Source: Tokyo Zoological Park Society Inokashira Park Zoo,,,,,,,,,,
