年度,Fiscal year,設置階層,設置区分,Classification,学校区分,School classification,学校数 Number of schools／総数 Total,学校数 Number of schools／総数 Total／うち分校  Branch schools,学校数 Number of schools／総数 Total／うち中高一貫教育校 Combined junior high ／ senior high schools,幼児，児童，生徒，学生数 Number of children and students／総数 Total,幼児，児童，生徒，学生数 Number of children and students／男 Male,幼児，児童，生徒，学生数 Number of children and students／女 Female,教員数 Number of  Teachers／総数 Total,教員数 Number of Teachers／本務者 Full-time,教員数 Number of Teachers／兼務者 Part-time
平成22,2010,0,総数 ,Total,,,4580,2,40,2346692,1220885,1125807,…,144490,…
平成23,2011,0,総数 ,Total,,,4548,2,42,2326577,1209559,1117018,…,146208,…
平成24,2012,0,総数 ,Total,,,4512,1,44,2320005,1204052,1115953,…,146894,…
平成24,2012,0,総数 ,Total,小学校,Elementary schools,1363,-,-,586412,299714,286698,36898,32246,4652
平成24,2012,0,総数 ,Total,中学校,Junior high schools,819,1,20,311758,157495,154263,28242,19209,9033
平成24,2012,0,総数 ,Total,高等学校,Senior high schools,432,-,16,315262,154865,160397,29734,18951,10783
平成24,2012,0,総数 ,Total,中等教育学校,Secondary education schools,8,-,8,5940,2820,3120,657,453,204
平成24,2012,0,総数 ,Total,大学,Colleges and universities,138,-,-,714777,403303,311474,114576,48856,65720
平成24,2012,0,総数 ,Total,短期大学,Junior colleges,44,-,-,18215,1606,16609,4302,1034,3268
平成24,2012,0,総数 ,Total,高等専門学校,Colleges of technology,3,-,-,3377,3044,333,…,268,…
平成24,2012,0,総数 ,Total,特別支援学校,Special needs schools,68,-,-,12025,7798,4227,6324,5804,520
平成24,2012,0,総数 ,Total,幼稚園,Kindergartens,1042,-,-,173642,87841,85801,12416,10708,1708
平成24,2012,0,総数 ,Total,高等学校通信制,Senior high school correspondence course,13,-,-,14045,7651,6394,1111,302,809
平成24,2012,0,総数 ,Total,専修学校,Specialized training schools,419,-,-,141989,67405,74584,23709,7455,16254
平成24,2012,0,総数 ,Total,各種学校,Miscellaneous schools,163,-,-,22563,10510,12053,3270,1608,1662
平成24,2012,1,国立 ,National,総数,Total,41,-,2,87171,57077,30094,…,9056,…
平成24,2012,1,国立 ,National,小学校,Elementary schools,6,-,-,4171,2081,2090,220,168,52
平成24,2012,1,国立 ,National,中学校,Junior high schools,6,-,-,2799,1509,1290,300,140,160
平成24,2012,1,国立 ,National,高等学校,Senior high schools,6,-,-,3327,1912,1415,380,210,170
平成24,2012,1,国立 ,National,中等教育学校,Secondary education schools,2,-,2,1414,646,768,154,95,59
平成24,2012,1,国立 ,National,大学,Colleges and universities,12,-,-,73541,49552,23989,14975,8107,6868
平成24,2012,1,国立 ,National,短期大学,Junior colleges,-,-,-,-,-,-,-,-,-
平成24,2012,1,国立 ,National,高等専門学校,Colleges of technology,1,-,-,1023,920,103,…,80,…
平成24,2012,1,国立 ,National,特別支援学校,Special needs schools,4,-,-,462,253,209,285,225,60
平成24,2012,1,国立 ,National,幼稚園,Kindergartens,2,-,-,379,190,189,33,24,9
平成24,2012,1,国立 ,National,高等学校通信制,Senior high school correspondence course,-,-,-,-,-,-,-,-,-
平成24,2012,1,国立 ,National,専修学校,Specialized training schools,2,-,-,55,14,41,96,7,89
平成24,2012,1,国立 ,National,各種学校,Miscellaneous schools,-,-,-,-,-,-,-,-,-
平成24,2012,1,公立 ,Public,総数,Total,2389,1,32,967746,501838,465908,…,62718,…
平成24,2012,1,公立 ,Public,小学校,Elementary schools,1304,-,-,555980,287065,268915,34839,30662,4177
平成24,2012,1,公立 ,Public,中学校,Junior high schools,625,1,15,231211,121439,109772,19002,14891,4111
平成24,2012,1,公立 ,Public,高等学校,Senior high schools,189,-,11,136097,67578,68519,12233,9418,2815
平成24,2012,1,公立 ,Public,中等教育学校,Secondary education schools,6,-,6,4526,2174,2352,503,358,145
平成24,2012,1,公立 ,Public,大学,Colleges and universities,2,-,-,9615,6367,3248,1569,722,847
平成24,2012,1,公立 ,Public,短期大学,Junior colleges,-,-,-,-,-,-,-,-,-
平成24,2012,1,公立 ,Public,高等専門学校,Colleges of technology,1,-,-,1585,1487,98,…,133,…
平成24,2012,1,公立 ,Public,特別支援学校,Special needs schools,60,-,-,11331,7409,3922,5917,5476,441
平成24,2012,1,公立 ,Public,幼稚園,Kindergartens,190,-,-,13884,7265,6619,1113,848,265
平成24,2012,1,公立 ,Public,高等学校通信制,Senior high school correspondence course,3,-,-,1646,818,828,88,46,42
平成24,2012,1,公立 ,Public,専修学校,Specialized training schools,9,-,-,1871,236,1635,833,164,669
平成24,2012,1,公立 ,Public,各種学校,Miscellaneous schools,-,-,-,-,-,-,-,-,-
平成24,2012,1,私立 ,Private,総数,Total,2082,-,10,1265088,645137,619951,…,75120,…
平成24,2012,1,私立 ,Private,小学校,Elementary schools,53,-,-,26261,10568,15693,1839,1416,423
平成24,2012,1,私立 ,Private,中学校,Junior high schools,188,-,5,77748,34547,43201,8940,4178,4762
平成24,2012,1,私立 ,Private,高等学校,Senior high schools,237,-,5,175838,85375,90463,17121,9323,7798
平成24,2012,1,私立 ,Private,中等教育学校,Secondary education schools,-,-,-,-,-,-,-,-,-
平成24,2012,1,私立 ,Private,大学,Colleges and universities,124,-,-,631621,347384,284237,98032,40027,58005
平成24,2012,1,私立 ,Private,短期大学,Junior colleges,44,-,-,18215,1606,16609,4302,1034,3268
平成24,2012,1,私立 ,Private,高等専門学校,Colleges of technology,1,-,-,769,637,132,…,55,…
