年度,Fiscal year,開館日数 Number of open days,主催展 Exhibitions／展覧会数 Number of exhibitions,主催展 Exhibitions／観覧人員 Visitors,収蔵品数(年度末) Number of collection items (end of fiscal year )／総数 Total,収蔵品数(年度末) Number of collection items (end of fiscal year )／絵画 Paintings,収蔵品数(年度末) Number of collection items (end of fiscal year )／彫刻 Sculptures,収蔵品数(年度末) Number of collection items (end of fiscal year )／版画 Prints,収蔵品数(年度末) Number of collection items (end of fiscal year )／その他 Others,美術団体展 Exhibitions by art groups／展覧会数 Number of exhibitions,美術団体展 Exhibitions by art groups／観覧人員 Visitors
平成20,2008,334,4,1198752,13,-,12,-,1,258,1433817
平成21,2009,334,5,831025,13,-,12,-,1,261,1410013
平成22,2010,4,1,15890,13,-,12,-,1,9,26083
平成23,2011,-,-,-,49,-,12,-,37,-,-
平成24,2012,339,10,1503430,49,-,12,-,37,273,1329208
,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-12  東京都立美術館及び博物館 (1) 東京都美術館 (平成20～24年度) 17-12 TOKYO METROPOLITAN MUSEUMS (1) TOKYO METROPOLITAN ART MUSEUM ( Fiscal Years 2008-2012 ),,,,,,,,,,,
注) 平成22年4月5日から平成24年3月31日まで，改修工事に伴い全面休館した。,,,,,,,,,,,
Note: Closed for renovations from April 5， 2010 to March 31， 2012.,,,,,,,,,,,
資料：公益財団法人東京都歴史文化財団事務局 Source: Tokyo Metropolitan Foundation for History and Culture,,,,,,,,,,,
