年度,Fiscal year,男女区分 ,Male female classification,区分 ,Classification,幼稚園 Kindergarten／5歳 5 years old,小学校 Elementary school／6歳 6 years old,小学校 Elementary school／7歳 7 years old,小学校 Elementary school／8歳 8 years old,小学校 Elementary school／9歳 9 years old,小学校 Elementary school／10歳 10 years old,小学校 Elementary school／11歳 11 years old,中学校 Junior high schoo／12歳 12 years old,中学校 Junior high schoo／13歳 13 years old,中学校 Junior high schoo／14歳 14 years old,高等学校 Senior high school／15歳 15 years old,高等学校 Senior high school／16歳 16 years old,高等学校 Senior high school／17歳 17 years old
平成4,1992,男 ,Male,身長 (cm),Height (cm),111.3,116.9,123.2,128.6,134.2,139.2,145.4,152.8,160.1,165.6,168.9,170.7,171.4
平成9,1997,男 ,Male,身長 (cm),Height (cm),110.9,117.1,123.2,128.3,133.7,139.3,145.4,153,160.4,165.4,169,170.4,171.2
平成14,2002,男 ,Male,身長 (cm),Height (cm),111.1,117.2,123.4,128.5,133.8,139,145.7,152.8,161,165.8,168.7,170.4,171.1
平成19,2007,男 ,Male,身長 (cm),Height (cm),111.1,116.8,122.9,128.9,134.3,139,145.4,153,160.8,165.7,169.6,170.2,171.3
平成24,2012,男 ,Male,身長 (cm),Height (cm),110.8,116.9,122.4,128.2,134.1,139.3,145.3,153.2,160.6,165.9,168.7,170.2,170.9
平成4,1992,男 ,Male,体重 (kg)  ,Weight (kg),19.6,21.6,24.9,27.4,30.9,34.3,38.9,44.5,50.6,55.5,59.8,62.2,64.4
平成9,1997,男 ,Male,体重 (kg)  ,Weight (kg),19.3,21.9,24.6,27.3,31.1,35.3,39.6,45.5,51,55.5,60.1,62.4,62.9
平成14,2002,男 ,Male,体重 (kg)  ,Weight (kg),19.3,21.6,24.6,27.5,31.6,34.6,40,45.1,51.5,55.7,60.9,62.7,64
平成19,2007,男 ,Male,体重 (kg)  ,Weight (kg),19.3,21.5,24.2,27.3,31.2,34,39,44.6,50.7,54.5,61.2,62,63.6
平成24,2012,男 ,Male,体重 (kg)  ,Weight (kg),19,21.3,23.8,26.7,30.5,34.4,38.3,44.5,50.3,54.6,59.1,61.2,62.7
平成4,1992,男 ,Male,座高 (cm),Sitting Height (cm),62.6,65.5,68.3,70.8,73,75.4,77.8,81.5,84.9,87.8,90,90.9,91.6
