年度,Fiscal year,卒業後の状況,Status after graduation,総数 Total／計 Total,総数 Total／男 Male,総数 Total／女 Female,総数 Total／国立 National,総数 Total／公立 Public,総数 Total／私立 Private
平成22,2010,総数,Total,105682,53043,52639,943,77331,27408
平成23,2011,総数,Total,102110,51403,50707,941,74271,26898
平成24,2012,総数,Total,104071,52403,51668,931,76109,27031
平成24,2012,(A)高等学校等進学者,(A)Enrollment in senior high schools and others,102147,51283,50864,926,74359,26862
平成24,2012,(A)高等学校等進学者／高等学校本科 全日制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， full-time,95556,47357,48199,922,67922,26712
平成24,2012,(A)高等学校等進学者／高等学校本科 定時制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， part-time,3802,2148,1654,-,3780,22
平成24,2012,(A)高等学校等進学者／高等学校本科 通信制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， correspondence course,1269,697,572,2,1147,120
平成24,2012,(A)高等学校等進学者／中等教育学校後期課程本科 全日制,(A)Enrollment in senior high schools and others／Secondary education schools， second semester course， regular course， full-time,1,-,1,-,1,-
平成24,2012,(A)高等学校等進学者／中等教育学校後期課程本科 定時制,(A)Enrollment in senior high schools and others／Secondary education schools， second semester course， regular course， part-time,-,-,-,-,-,-
平成24,2012,(A)高等学校等進学者／高等学校別科,(A)Enrollment in senior high schools and others／Senior high schools， special course,-,-,-,-,-,-
平成24,2012,(A)高等学校等進学者／中等教育学校後期課程別科,(A)Enrollment in senior high schools and others／Secondary education schools， upper secondary course， special course,-,-,-,-,-,-
平成24,2012,(A)高等学校等進学者／高等専門学校,(A)Enrollment in senior high schools and others／Colleges of technology,453,390,63,2,445,6
平成24,2012,(A)高等学校等進学者／特別支援学校高等部本科,(A)Enrollment in senior high schools and others／Special needs education schools， upper secondary course， regular course,1066,691,375,-,1064,2
平成24,2012,(A)高等学校等進学者／特別支援学校高等部別科,(A)Enrollment in senior high schools and others／Special needs education schools， upper secondary course， special course,-,-,-,-,-,-
平成24,2012,(B)専修学校(高等課程)進学者,(B) Enrollment in specialized training schools (upper secondary course),490,268,222,-,450,40
平成24,2012,(C)専修学校(一般課程)等入学者,(C)Enrollment in Specialized training schools (general course) and others,179,80,99,-,173,6
平成24,2012,(D)公共職業能力開発施設等入学者,(D)Enrollment in public vocational training facilities and others,41,39,2,-,40,1
平成24,2012,(E)就職者,(E)Employed,362,275,87,-,361,1
平成24,2012,(F)上記以外の者,(F)Persons other than the above,830,445,385,5,711,114
平成24,2012,(G)不詳・死亡,(G)Unknown or deceased,22,13,9,-,15,7
平成24,2012,(再掲)上記(A，B，C，D)のうち就職している者,(Relisted)(A， B， C， D) above and employed,54,43,11,-,54,-
平成24,2012,(再掲)上記(A)のうち就職している者,(Relisted)(A) above and employed,50,39,11,-,50,-
平成24,2012,(再掲)上記(B)のうち就職している者,(Relisted)(B) above and employed,3,3,-,-,3,-
平成24,2012,(再掲)上記(C)のうち就職している者,(Relisted)(C) above and employed,1,1,-,-,1,-
平成24,2012,(再掲)上記(D)のうち就職している者,(Relisted)(D) above and employed,-,-,-,-,-,-
平成24,2012,(再掲)上記(A)のうち他県への進学者,(Relisted)(A) above and enrolled in schools in other prefectures,3959,2689,1270,47,3429,483
,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,
17-6  中学校卒業後の状況  (平成22～24年度) 17-6  STATUS OF GRADUATES OF JUNIOR HIGH SCHOOLS  ( Fiscal Years 2010-2012 ),,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」 Source: Bureau of General Affairs， TMG  　　,,,,,,,,,
