年度末,End of fiscal year,種類,Kind,総数 Total,博物館法による博物館 Museums registered under the Museum Act／国立 National,博物館法による博物館 Museums registered under the Museum Act／公立 Public,博物館法による博物館 Museums registered under the Museum Act／私立 Private,博物館相当施設 Museum-equivalent facilities／国立 National,博物館相当施設 Museum-equivalent facilities／公立 Public,博物館相当施設 Museum-equivalent facilities／私立 Private,博物館相当施設 Museum-equivalent facilities／大学附属 Affiliated to universities,その他 Others／国立 National,その他 Others／公立 Public,その他 Others／私立 Private,その他 Others／大学附属 Affiliated to universities
平成22,2010,総数,Total,272,-,19,53,6,7,4,24,9,79,63,8
平成23,2011,総数,Total,271,-,19,53,5,7,4,24,8,80,62,9
平成24,2012,総数,Total,268,-,17,54,5,12,7,25,10,74,56,8
平成24,2012,総合博物館,General museum,40,-,10,4,-,1,1,1,-,21,-,2
平成24,2012,歴史博物館,Historical museum,104,-,4,14,1,2,2,17,5,29,27,3
平成24,2012,美術博物館,Art museum,83,-,3,32,3,5,4,5,2,9,19,1
平成24,2012,科学博物館,Science museum,21,-,-,4,1,-,-,2,1,5,7,1
平成24,2012,動物園,Zoological garden,4,-,-,-,-,2,-,-,-,2,-,-
平成24,2012,植物園,Botanical garden,7,-,-,-,-,-,-,-,2,4,-,1
平成24,2012,動・水・植,Zoo／Aquarium／Botanical,4,-,-,-,-,1,-,-,-,2,1,-
平成24,2012,水族館,Aquarium,5,-,-,-,-,1,-,-,-,2,2,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,
17-10  博物館及び同種施設数 (平成22～24年度末) 17-10  MUSEUMS AND SAME TYPE OF FACILITIES ( End of Fiscal Years 2010-2012 ),,,,,,,,,,,,,,,
資料：日本博物館協会 Source: Japanese Association of Museums　,,,,,,,,,,,,,,,
