地域階層,地域コード,項番 Item number,地域,District,施設数 Number of facilities,学級・事業数 Classes and Programs／総数 Total,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／計 Total,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／高齢者 Seniors,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／女性 Women,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／家庭教育 Home education,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／青年 Youth,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／少年 Children,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／成人・一般 Adults and general public,学級・事業数 Classes and programs／分野別事業数 Programs by category／リーダー講習・研修会 Leadership training and workshops,学級・事業数 Classes and programs／分野別事業数 Programs by category／行事・大会 Events and Meets,学級・事業数 Classes and programs／分野別事業数 Programs by category／文化財保護普及事業 Cultural property protection and promotion,学級・事業数 Classes and programs／分野別事業数 Programs by category／障害者対象事業 Programs for the disabled,学級・事業数 Classes and programs／分野別事業数 Programs by category／青少年対策事業 Youth programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／視聴覚事業 Audio-visual programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／図書館事業 Library programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／博物館事業 Museum programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／人権学習促進事業 Human rights study／promotion,学級・事業数 Classes and programs／分野別事業数 Programs by category／新生活運動 New Community Practices,学級・事業数 Classes and programs／分野別事業数 Programs by category／その他の事業 Others programs
0,13000,,総数,Tokyo-to,827,10347,6846,213,244,1844,111,1063,3371,206,565,291,162,226,129,966,763,27,11,155
1,13100,,区部,All ku,412,4896,3309,81,87,1414,32,636,1059,110,190,160,77,171,20,435,326,22,7,69
2,13101,1,千代田区,Chiyoda-ku,9,50,31,-,-,3,-,2,26,-,13,3,2,-,-,-,-,-,-,1
2,13102,2,中央区,Chuo-ku,9,159,144,-,-,73,-,-,71,2,4,-,1,2,-,2,2,-,-,2
2,13103,3,港区,Minato-ku,11,80,69,-,8,23,-,1,37,1,-,2,-,-,-,-,7,-,-,1
2,13104,4,新宿区,Shinjuku-ku,19,154,116,-,1,107,2,6,-,2,10,9,-,-,-,13,-,-,-,4
2,13105,5,文京区,Bunkyo-ku,19,180,119,1,-,2,-,9,107,2,28,-,1,5,14,5,5,-,-,1
2,13106,6,台東区,Taito-ku,20,220,162,6,8,54,-,10,84,13,8,8,1,5,1,18,-,1,-,3
2,13107,7,墨田区,Sumida-ku,10,57,26,-,-,9,-,2,15,2,2,3,1,1,-,3,7,7,-,5
2,13108,8,江東区,Koto-ku,15,43,13,-,-,6,3,4,-,10,2,9,-,4,-,2,-,-,-,3
2,13109,9,品川区,Shinagawa-ku,17,631,587,63,-,507,-,4,13,11,3,3,3,1,-,9,9,2,-,3
2,13110,10,目黒区,Meguro-ku,19,109,65,-,1,7,3,16,38,3,9,2,3,1,-,3,19,-,-,4
2,13111,11,大田区,Ota-ku,19,137,78,-,-,42,-,-,36,6,16,2,14,-,-,2,7,3,7,2
2,13112,12,世田谷区,Setagaya-ku,29,468,214,5,-,103,5,10,91,13,34,42,3,148,-,3,9,1,-,1
2,13113,13,渋谷区,Shibuya-ku,23,64,24,-,-,-,2,22,-,-,1,5,-,-,-,5,26,-,-,3
2,13114,14,中野区,Nakano-ku,13,43,11,3,8,-,-,-,-,-,-,2,2,-,-,20,4,-,-,4
2,13115,15,杉並区,Suginami-ku,21,101,43,-,5,23,4,-,11,-,-,1,1,-,-,9,43,-,-,4
2,13116,16,豊島区,Toshima-ku,16,300,176,-,18,23,4,-,131,9,1,12,1,-,-,92,4,-,-,5
2,13117,17,北区,Kita-ku,20,121,22,1,-,16,-,1,4,4,1,22,-,-,-,-,72,-,-,-
2,13118,18,荒川区,Arakawa-ku,11,91,46,-,4,12,-,4,26,2,5,6,1,-,1,7,18,1,-,4
2,13119,19,板橋区,Itabashi-ku,21,440,347,-,4,81,-,35,227,2,28,10,3,1,1,-,42,1,-,5
2,13120,20,練馬区,Nerima-ku,23,696,605,2,11,80,5,501,6,10,11,7,4,2,3,13,36,4,-,1
2,13121,21,足立区,Adachi-ku,35,287,246,-,10,199,1,2,34,11,6,3,4,-,-,-,12,1,-,4
2,13122,22,葛飾区,Katsushika-ku,19,256,156,-,-,44,3,7,102,1,5,2,31,-,-,51,4,-,-,6
2,13123,23,江戸川区,Edogawa-ku,14,209,9,-,9,-,-,-,-,6,3,7,1,1,-,178,-,1,-,3
1,13200,,市部,All shi,368,5271,3451,128,135,429,78,408,2273,93,349,120,85,44,105,505,428,5,4,82
2,13201,1,八王子市,Hachioji-shi,14,880,587,19,13,54,15,15,471,5,70,5,-,14,62,9,125,-,-,3
2,13202,2,立川市,Tachikawa-shi,29,287,220,9,38,106,-,17,50,8,22,2,1,5,4,10,6,2,-,7
2,13203,3,武蔵野市,Musashino-shi,5,74,34,2,1,2,-,19,10,-,22,6,1,-,2,7,-,-,-,2
2,13204,4,三鷹市,Mitaka-shi,9,100,81,13,-,3,-,22,43,3,6,7,-,-,-,3,-,-,-,-
2,13205,5,青梅市,Ome-shi,19,160,107,3,-,19,-,24,61,1,2,2,-,-,2,21,20,-,-,5
2,13206,6,府中市,Fuchu-shi,30,387,225,-,16,51,-,-,158,1,7,10,41,-,-,33,66,-,-,4
2,13207,7,昭島市,Akishima-shi,20,84,30,2,-,9,-,2,17,14,25,3,-,1,-,6,-,-,3,2
2,13208,8,調布市,Chofu-shi,22,281,158,13,-,26,7,23,89,5,21,7,3,1,-,40,46,-,-,-
2,13209,9,町田市,Machida-shi,17,368,287,14,12,9,11,142,99,4,15,13,1,-,-,5,36,-,-,7
2,13210,10,小金井市,Koganei-shi,12,139,99,5,-,28,7,11,48,1,10,3,1,-,2,13,4,-,-,6
2,13211,11,小平市,Kodaira-shi,24,143,82,2,7,14,2,8,49,3,22,3,1,1,1,24,-,2,1,3
2,13212,12,日野市,Hino-shi,12,149,101,8,-,25,-,16,52,1,5,7,3,-,1,12,14,-,-,5
2,13213,13,東村山市,Higashimurayama-shi,13,27,-,-,-,-,-,-,-,2,6,1,-,3,-,12,2,-,-,1
2,13214,14,国分寺市,Kokubunji-shi,15,333,191,1,11,10,-,8,161,5,37,6,5,1,24,63,-,1,-,-
2,13215,15,国立市,Kunitachi-shi,10,109,52,1,1,-,7,1,42,-,2,14,8,1,1,7,18,-,-,6
2,13218,16,福生市,Fussa-shi,13,151,78,5,9,8,-,6,50,18,12,3,1,-,-,29,7,-,-,3
2,13219,17,狛江市,Komae-shi,5,38,18,4,4,-,1,8,1,-,6,1,1,-,4,5,-,-,-,3
2,13220,18,東大和市,Higashiyamato-shi,9,99,47,3,-,6,12,8,18,6,10,1,2,-,-,20,12,-,-,1
2,13221,19,清瀬市,Kiyose-shi,10,125,64,12,9,-,-,-,43,7,6,1,1,6,-,6,33,-,-,1
2,13222,20,東久留米市,Higashikurume-shi,6,55,29,-,-,5,-,-,24,1,2,5,2,-,-,16,-,-,-,-
2,13223,21,武蔵村山市,Musashimurayama-shi,5,31,7,2,-,2,-,-,3,1,1,4,-,3,-,1,9,-,-,5
2,13224,22,多摩市,Tama-shi,15,104,69,3,-,32,2,7,25,1,23,3,1,-,-,2,-,-,-,5
2,13225,23,稲城市,Inagi-shi,11,45,21,4,3,5,1,-,8,6,4,2,2,2,2,6,-,-,-,-
2,13227,24,羽村市,Hamura-shi,8,49,16,-,-,5,-,-,11,-,-,-,1,6,-,3,20,-,-,3
2,13228,25,あきる野市,Akiruno-shi,22,784,675,-,-,1,5,5,664,-,-,-,-,-,-,92,10,-,-,7
2,13229,26,西東京市,Nishitokyo-shi,13,269,173,3,11,9,8,66,76,-,13,11,9,-,-,60,-,-,-,3
1,13300,,郡部,All gun,21,94,32,4,-,1,1,5,21,3,12,5,-,5,3,25,7,-,-,2
2,13303,1,瑞穂町,Mizuho-machi,9,41,14,4,-,-,1,1,8,3,6,4,-,1,-,5,7,-,-,1
2,13305,2,日の出町,Hinode-machi,5,14,10,-,-,-,-,-,10,-,1,-,-,3,-,-,-,-,-,-
2,13307,3,檜原村,Hinohara-mura,2,6,3,-,-,-,-,2,1,-,2,1,-,-,-,-,-,-,-,-
2,13308,4,奥多摩町,Okutama-machi,5,33,5,-,-,1,-,2,2,-,3,-,-,1,3,20,-,-,-,1
1,13350,,島部,All islands,26,86,54,-,22,-,-,14,18,-,14,6,-,6,1,1,2,-,-,2
2,13361,1,大島町,Oshima-machi,7,10,-,-,-,-,-,-,-,-,3,1,-,6,-,-,-,-,-,-
2,13362,2,利島村,Toshima-mura,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13363,3,新島村,Niijima-mura,2,6,3,-,-,-,-,1,2,-,-,1,-,-,-,-,2,-,-,-
2,13364,4,神津島村,Kozushima-mura,2,6,3,-,-,-,-,1,2,-,3,-,-,-,-,-,-,-,-,-
