年度末,End of fiscal year,分類,Classification,総数 Total,中央 Central,多摩 Tama
平成22,2010,総数,Total,2404076,1763388,640688
平成23,2011,総数,Total,2427216,1810036,617180
平成24,2012,総数,Total,2451044,1856540,594504
平成24,2012,総記,General works,80935,69152,11783
平成24,2012,哲学,Philosophy,92930,75531,17399
平成24,2012,歴史,History,214089,174685,39404
平成24,2012,社会科学,Social science,432218,352362,79856
平成24,2012,自然科学,Natural science,132118,118284,13834
平成24,2012,工学,Technology,153964,136503,17461
平成24,2012,産業,Industry,104236,95200,9036
平成24,2012,芸術,The arts,145846,121886,23960
平成24,2012,語学,Language,35732,29905,5827
平成24,2012,文学,Literature,266175,121069,145106
平成24,2012,児童,Children's books,176207,-,176207
平成24,2012,その他,Others,616594,561963,54631
,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,
17-9  国公立図書館 (2) 都立図書館蔵書数 (平成22～24年度末) 17-9  NATIONAL AND PUBLIC LIBRARIES (2) NUMBER OF BOOKS STOCKED AT METROPOLITAN LIBRARIES ( End of Fiscal Years 2010-2012 ),,,,,,
資料：都立中央図書館 Source: Tokyo Metropolitan Central Library,,,,,,
（単位　冊）(In volumes),,,,,,
